"","metric","BNB","NB","n","theta"
"1","bias_test",-21.2771666666667,-9.26975,60,1.5
"2","mase_test",0.931973562109275,0.82359804946475,60,1.5
"3","rmse_test",250.594835383624,222.839208904182,60,1.5
"4","rmse_train",192.079826796164,218.025164784649,60,1.5
"5","bias_test",-7.44841666666667,-0.800916666666665,120,1.5
"6","mase_test",0.811605186260598,0.761596423226914,120,1.5
"7","rmse_test",239.294569672573,225.65332288305,120,1.5
"8","rmse_train",208.576174767418,221.606972640133,120,1.5
"9","bias_test",-4.81029166666667,-0.700166666666668,240,1.5
"10","mase_test",0.77185230192903,0.747761739052069,240,1.5
"11","rmse_test",232.598365728483,226.438841044581,240,1.5
"12","rmse_train",217.518911117884,223.848348208203,240,1.5
"13","bias_test",-2.82966666666667,-0.276374999999999,360,1.5
"14","mase_test",0.754543990342415,0.739482740502169,360,1.5
"15","rmse_test",231.242714759019,227.33424700742,360,1.5
"16","rmse_train",221.322725389703,225.499680781525,360,1.5
"17","bias_test",-4.37825,-0.261000000000001,60,5
"18","mase_test",0.848073042905973,0.767718291563292,60,5
"19","rmse_test",140.130707163232,127.055178635043,60,5
"20","rmse_train",105.515540938113,120.556941219659,60,5
"21","bias_test",-2.08920833333333,0.135291666666666,120,5
"22","mase_test",0.783302496375405,0.742351799540534,120,5
"23","rmse_test",131.510562437861,125.100974879734,120,5
"24","rmse_train",115.074356048099,122.080882535948,120,5
"25","bias_test",-2.49170833333333,-1.26439583333333,240,5
"26","mase_test",0.751067590781374,0.730887754300728,240,5
"27","rmse_test",128.861377004291,125.544135176781,240,5
"28","rmse_train",120.303636280888,123.843852503947,240,5
"29","bias_test",-1.13058333333333,-0.509069444444444,360,5
"30","mase_test",0.73541105412276,0.722401614919087,360,5
"31","rmse_test",127.967376933822,125.721382092014,360,5
"32","rmse_train",121.94343831243,124.278870068285,360,5
"33","bias_test",-2.05575,0.414833333333333,60,10
"34","mase_test",0.853623271795248,0.770596120928141,60,10
"35","rmse_test",98.6683520678364,89.9892811259655,60,10
"36","rmse_train",75.1791542294443,85.7075844619109,60,10
"37","bias_test",-1.64825,-0.540541666666666,120,10
"38","mase_test",0.782641661473448,0.744538544933539,120,10
"39","rmse_test",94.4799041485349,90.0796465509904,120,10
"40","rmse_train",82.4762054529272,87.6798535657923,120,10
"41","bias_test",-0.5384375,0.121666666666666,240,10
"42","mase_test",0.741680976076191,0.722790767887995,240,10
"43","rmse_test",91.995678070215,89.6788593451879,240,10
"44","rmse_train",85.7291033854239,88.3383990609296,240,10
"45","bias_test",-0.391902777777779,0.0249444444444437,360,10
"46","mase_test",0.734853043248203,0.721652361407135,360,10
"47","rmse_test",91.6101646019659,90.0330430509745,360,10
"48","rmse_train",87.0500811040121,88.6835787682446,360,10
"49","bias_test",-1.02316666666667,0.225416666666667,60,100
"50","mase_test",0.840008099863989,0.764324385251569,60,100
"51","rmse_test",36.0940482443879,33.0603713951155,60,100
"52","rmse_train",27.2294019086248,31.0537925593874,60,100
"53","bias_test",-0.835791666666667,-0.518958333333334,120,100
"54","mase_test",0.77128588200776,0.731646410274253,120,100
"55","rmse_test",34.2291703477343,32.5072849697191,120,100
"56","rmse_train",29.9057857095206,31.7902949147859,120,100
"57","bias_test",-0.5384375,0.121666666666666,240,100
"58","mase_test",0.741680976076191,0.722790767887995,240,100
"59","rmse_test",91.995678070215,89.6788593451879,240,100
"60","rmse_train",85.7291033854239,88.3383990609296,240,100
"61","bias_test",-0.0851944444444446,-0.00526388888888891,360,100
"62","mase_test",0.726974146167076,0.714781471378063,360,100
"63","rmse_test",33.0254332392319,32.465342903959,360,100
"64","rmse_train",31.5355193586786,32.1506796276107,360,100
