latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month,max_temp,min_temp,rainfall
-1.6901,35.2175,326.1,1.0,1.0,2016-07-01,807,Terra,MODIS,63,6.2,298.7,14.9,D,0,2016,7,,,
-3.1583,39.5038,316.5,1.6,1.2,2016-07-01,808,Terra,MODIS,44,6.2,293.5,15.8,D,0,2016,7,28.873444,20.494469,38.76266
-1.6255,40.9992,319.7,1.2,1.1,2016-07-01,1102,Aqua,MODIS,71,6.2,297.7,14.3,D,0,2016,7,29.55438,23.315739,101.72067
-1.374,34.8832,315.0,2.6,1.5,2016-07-02,1145,Aqua,MODIS,42,6.2,294.6,30.6,D,0,2016,7,25.26412,13.131177,77.16708
-1.3866,34.8707,322.9,1.4,1.2,2016-07-03,755,Terra,MODIS,57,6.2,300.8,19.6,D,0,2016,7,26.027954,13.733843,73.531494
-1.0383,34.6696,329.3,1.5,1.2,2016-07-03,755,Terra,MODIS,82,6.2,300.0,39.6,D,0,2016,7,25.439346,13.70343,137.97989
-1.3818,34.8654,326.9,1.4,1.2,2016-07-03,755,Terra,MODIS,70,6.2,301.3,25.1,D,0,2016,7,26.027954,13.733843,73.531494
-1.6437,35.1759,323.2,1.6,1.2,2016-07-06,826,Terra,MODIS,81,6.2,278.6,35.0,D,0,2016,7,26.090282,13.084107,39.288883
-1.6426,35.1825,325.3,1.6,1.2,2016-07-06,826,Terra,MODIS,79,6.2,276.9,35.2,D,0,2016,7,26.090282,13.084107,39.288883
-1.6456,35.1896,316.2,1.6,1.2,2016-07-06,826,Terra,MODIS,74,6.2,275.7,22.4,D,0,2016,7,26.090282,13.084107,39.288883
-1.6409,35.1846,321.9,1.0,1.0,2016-07-06,1120,Aqua,MODIS,37,6.2,287.7,10.2,D,0,2016,7,26.090282,13.084107,39.288883
0.2789,34.5849,310.4,1.0,1.0,2016-07-06,1121,Aqua,MODIS,64,6.2,285.1,6.6,D,0,2016,7,27.538828,15.699604,174.98972
-0.6755,34.2792,322.0,1.3,1.1,2016-07-08,2330,Aqua,MODIS,100,6.2,287.7,31.4,N,0,2016,7,27.721638,15.471381,101.419846
-0.6771,34.2901,323.2,1.3,1.1,2016-07-08,2330,Aqua,MODIS,100,6.2,288.3,33.1,N,0,2016,7,27.721638,15.471381,101.419846
-0.6849,34.262,322.1,1.2,1.1,2016-07-10,801,Terra,MODIS,65,6.2,290.1,19.9,D,0,2016,7,27.721638,15.471381,101.419846
-1.6309,35.2642,324.3,1.1,1.0,2016-07-10,801,Terra,MODIS,29,6.2,299.8,14.2,D,0,2016,7,25.409952,12.829371,37.794712
0.524,34.3794,316.1,1.3,1.1,2016-07-10,801,Terra,MODIS,69,6.2,294.2,11.1,D,0,2016,7,28.211824,16.510479,140.76653
-1.6095,35.2476,334.7,1.1,1.0,2016-07-10,801,Terra,MODIS,74,6.2,301.9,28.8,D,0,2016,7,25.474401,12.825858,39.84362
-1.608,35.2379,337.5,1.1,1.0,2016-07-10,801,Terra,MODIS,88,6.2,301.3,34.6,D,0,2016,7,25.474401,12.825858,39.84362
0.5224,34.3907,313.6,1.3,1.1,2016-07-10,801,Terra,MODIS,64,6.2,294.3,8.0,D,0,2016,7,28.211824,16.510479,140.76653
-1.6021,35.0696,320.6,1.1,1.0,2016-07-10,801,Terra,MODIS,66,6.2,302.3,9.6,D,0,2016,7,,,
-1.6036,35.0794,322.0,1.1,1.0,2016-07-10,801,Terra,MODIS,68,6.2,302.3,10.8,D,0,2016,7,,,
-0.949,34.7197,311.6,1.2,1.1,2016-07-10,801,Terra,MODIS,53,6.2,295.2,7.1,D,0,2016,7,24.689543,13.025681,160.97063
-0.6865,34.267,320.3,1.2,1.1,2016-07-10,801,Terra,MODIS,64,6.2,290.1,16.3,D,0,2016,7,27.721638,15.471381,101.419846
-1.6202,35.256,340.0,1.1,1.0,2016-07-10,801,Terra,MODIS,89,6.2,303.6,37.5,D,0,2016,7,25.092701,12.584364,37.325314
-1.645,35.2579,320.9,1.7,1.3,2016-07-10,1056,Aqua,MODIS,29,6.2,288.3,25.5,D,0,2016,7,25.409952,12.829371,37.794712
-1.6108,35.2531,320.0,1.7,1.3,2016-07-10,1056,Aqua,MODIS,45,6.2,288.3,20.6,D,0,2016,7,25.092701,12.584364,37.325314
-1.6336,35.2564,328.0,1.7,1.3,2016-07-10,1056,Aqua,MODIS,36,6.2,292.4,38.1,D,0,2016,7,25.409952,12.829371,37.794712
-1.613,35.2381,331.5,1.7,1.3,2016-07-10,1056,Aqua,MODIS,78,6.2,294.9,47.6,D,0,2016,7,25.474401,12.825858,39.84362
-1.6027,35.0739,325.0,1.7,1.3,2016-07-10,1056,Aqua,MODIS,75,6.2,298.1,28.9,D,0,2016,7,,,
-1.602,35.065,330.9,1.7,1.3,2016-07-10,1056,Aqua,MODIS,82,6.2,298.7,44.6,D,0,2016,7,,,
-1.597,35.2506,305.3,1.0,1.0,2016-07-10,2318,Aqua,MODIS,54,6.2,285.5,8.2,N,0,2016,7,25.092701,12.584364,37.325314
-1.5984,35.2598,309.5,1.0,1.0,2016-07-10,2318,Aqua,MODIS,78,6.2,286.2,11.2,N,0,2016,7,25.092701,12.584364,37.325314
