"","X","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","year","month","max_temp","min_temp","rainfall"
"1",1,323.3,4.7,2,"2005-02-01",1010,"Aqua","MODIS",76,6.2,295.8,118,"D",0,2005,2,32.2180252075195,23.4975738525391,157.641860961914
"2",2,321.9,4.7,2,"2005-02-01",1010,"Aqua","MODIS",65,6.2,295.7,108,"D",0,2005,2,32.1943664550781,23.5611267089844,167.426849365234
"3",3,320.2,1.1,1.1,"2005-02-02",759,"Terra","MODIS",68,6.2,304.6,8.4,"D",0,2005,2,25.0728492736816,11.0267572402954,123.786323547363
"4",4,319.7,1.4,1.2,"2005-02-02",759,"Terra","MODIS",57,6.2,297.2,16.1,"D",0,2005,2,32.3852806091309,24.0889854431152,255.821685791016
"5",5,327.6,1.4,1.2,"2005-02-02",759,"Terra","MODIS",75,6.2,301.2,25.2,"D",0,2005,2,32.4639205932617,23.7046585083008,169.071014404297
"6",6,320.2,1.1,1.1,"2005-02-02",759,"Terra","MODIS",67,6.2,303.6,10.2,"D",0,2005,2,24.5396213531494,10.7338542938232,139.355895996094
"7",7,319,1.3,1.1,"2005-02-02",759,"Terra","MODIS",41,6.2,293.9,11.8,"D",0,2005,2,29.0702438354492,17.4846267700195,132.089767456055
"8",8,320.9,1.2,1.1,"2005-02-02",759,"Terra","MODIS",53,6.2,303.6,8.7,"D",0,2005,2,27.0785236358643,13.0169191360474,150.593139648438
"9",9,320.6,1.1,1.1,"2005-02-02",759,"Terra","MODIS",68,6.2,302.8,10.9,"D",0,2005,2,24.1342601776123,10.3133544921875,146.732940673828
"10",10,321,1.2,1.1,"2005-02-02",759,"Terra","MODIS",69,6.2,302.1,11.3,"D",0,2005,2,28.2249851226807,15.3691701889038,258.289764404297
"11",11,322.6,1,1,"2005-02-02",1052,"Aqua","MODIS",56,6.2,300.3,8.9,"D",0,2005,2,30.6808528900146,21.3091239929199,172.502975463867
"12",12,325.4,1,1,"2005-02-02",1053,"Aqua","MODIS",40,6.2,303.4,6,"D",0,2005,2,32.4852294921875,23.7536888122559,361.815734863281
"13",13,338.8,1,1,"2005-02-02",1053,"Aqua","MODIS",64,6.2,303.7,28.7,"D",0,2005,2,32.4648666381836,NA,NA
