latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month,max_temp,min_temp,rainfall
1.3592,34.8179,330.0,1.0,1.0,2002-02-01,808,Terra,MODIS,74,6.2,314.1,13.1,D,0,2002,2,29.275608,14.900152,58.66033
0.7484,35.1519,323.1,1.0,1.0,2002-02-01,808,Terra,MODIS,64,6.2,309.3,9.3,D,0,2002,2,27.620499,12.81637,61.4293
1.1116,34.8122,328.0,1.0,1.0,2002-02-01,808,Terra,MODIS,76,6.2,312.5,12.2,D,0,2002,2,28.345001,13.19468,62.98741
0.7236,35.2588,326.0,1.0,1.0,2002-02-01,808,Terra,MODIS,70,6.2,306.2,13.3,D,0,2002,2,27.011051,12.26294,62.16394
1.1946,34.996,323.5,1.0,1.0,2002-02-01,808,Terra,MODIS,42,6.2,310.7,6.4,D,0,2002,2,28.657,13.133513,54.205215
0.7004,35.2922,320.5,1.0,1.0,2002-02-01,808,Terra,MODIS,53,6.2,307.5,7.4,D,0,2002,2,26.68046,12.220125,65.54885
1.0925,34.9435,340.4,1.5,1.2,2002-02-03,756,Terra,MODIS,88,6.2,309.0,55.7,D,0,2002,2,29.295391,13.270875,57.496616
-0.9949,34.6894,335.5,1.5,1.2,2002-02-03,756,Terra,MODIS,85,6.2,301.7,52.0,D,0,2002,2,27.733656,16.004719,165.60672
-0.0204,37.432,330.1,1.1,1.0,2002-02-03,756,Terra,MODIS,66,6.2,307.9,19.5,D,0,2002,2,18.868475,4.571409,109.01286
0.9047,35.1521,326.8,1.4,1.2,2002-02-03,756,Terra,MODIS,72,6.2,307.4,22.5,D,0,2002,2,28.307629,13.074023,55.19821
-0.3641,35.7425,315.1,1.3,1.1,2002-02-03,756,Terra,MODIS,28,6.2,297.8,14.0,D,0,2002,2,20.43735,7.398403,80.14437
-2.3015,40.5708,321.6,1.1,1.1,2002-02-03,756,Terra,MODIS,28,6.2,303.4,9.2,D,0,2002,2,31.946877,24.020449,39.053238
-0.0034,37.4437,324.8,1.1,1.0,2002-02-03,756,Terra,MODIS,44,6.2,303.9,16.0,D,0,2002,2,18.868475,4.571409,109.01286
0.2187,34.0197,320.7,1.7,1.3,2002-02-03,756,Terra,MODIS,49,6.2,303.5,14.9,D,0,2002,2,30.197363,19.324684,109.66446
0.7645,35.4413,322.0,1.4,1.2,2002-02-03,756,Terra,MODIS,58,6.2,303.3,14.9,D,0,2002,2,26.281555,11.573743,63.447315
1.0905,34.957,324.0,1.5,1.2,2002-02-03,756,Terra,MODIS,67,6.2,308.8,14.9,D,0,2002,2,29.295391,13.270875,57.496616
0.9007,35.1449,323.7,1.4,1.2,2002-02-03,756,Terra,MODIS,60,6.2,307.5,14.9,D,0,2002,2,28.307629,13.074023,55.19821
-0.2022,36.0998,322.4,1.2,1.1,2002-02-03,756,Terra,MODIS,68,6.2,308.2,10.9,D,0,2002,2,27.203224,11.417152,57.031616
-1.6632,41.0447,326.8,1.2,1.1,2002-02-03,756,Terra,MODIS,70,6.2,304.2,20.6,D,0,2002,2,31.626513,24.053558,12.092533
-0.4171,35.5357,300.1,1.1,1.1,2002-02-03,2017,Terra,MODIS,19,6.2,280.8,7.8,N,0,2002,2,23.468187,9.9678755,103.03788
0.0064,37.4507,300.9,1.5,1.2,2002-02-03,2017,Terra,MODIS,35,6.2,276.2,14.7,N,0,2002,2,19.354942,5.72309,98.9629
3.8784,34.0853,308.1,1.1,1.0,2002-02-03,2018,Terra,MODIS,73,6.2,290.6,9.2,N,0,2002,2,,,
1.146,34.8778,302.8,1.1,1.0,2002-02-03,2018,Terra,MODIS,51,6.2,284.1,8.3,N,0,2002,2,29.22463,13.405024,55.406906
1.1447,34.8683,306.5,1.1,1.0,2002-02-03,2018,Terra,MODIS,68,6.2,283.5,10.7,N,0,2002,2,29.15298,13.37742,55.13316
1.1385,34.875,308.4,1.1,1.0,2002-02-03,2018,Terra,MODIS,74,6.2,285.0,11.4,N,0,2002,2,29.22463,13.405024,55.406906
3.8798,34.0948,304.0,1.1,1.0,2002-02-03,2018,Terra,MODIS,58,6.2,288.8,6.2,N,0,2002,2,,,
-0.5659,35.5814,311.2,2.8,1.6,2002-02-04,839,Terra,MODIS,31,6.2,283.5,30.7,D,0,2002,2,23.489937,10.098542,106.972046
-1.9388,36.5578,323.3,3.5,1.8,2002-02-04,839,Terra,MODIS,73,6.2,302.3,65.9,D,0,2002,2,29.020428,16.193771,89.9428
2.0259,36.818,359.3,1.9,1.4,2002-02-05,743,Terra,MODIS,99,6.2,310.8,189.1,D,0,2002,2,28.417376,15.62917,43.516777
2.0283,36.8013,325.9,1.9,1.4,2002-02-05,743,Terra,MODIS,55,6.2,308.0,29.6,D,0,2002,2,28.417376,15.62917,43.516777
1.1407,34.8066,323.4,2.7,1.6,2002-02-05,743,Terra,MODIS,50,6.2,309.1,40.1,D,0,2002,2,28.045334,13.11782,60.954903
-1.781,40.8466,322.0,1.0,1.0,2002-02-05,744,Terra,MODIS,48,6.2,301.7,9.9,D,0,2002,2,31.929932,24.10871,16.36835
-0.91,34.5532,315.2,2.6,1.6,2002-02-05,744,Terra,MODIS,23,6.2,298.8,18.0,D,0,2002,2,28.851511,16.880114,143.31735
-1.7887,40.8362,320.1,1.0,1.0,2002-02-05,744,Terra,MODIS,26,6.2,300.6,7.4,D,0,2002,2,31.929932,24.10871,16.36835
-1.7498,40.8232,326.5,1.0,1.0,2002-02-05,744,Terra,MODIS,74,6.2,307.7,14.0,D,0,2002,2,32.002377,24.127918,16.320362
-2.8283,38.0388,303.3,1.0,1.0,2002-02-05,2004,Terra,MODIS,54,6.2,292.5,4.9,N,0,2002,2,28.812239,18.133877,81.18192
-2.8363,38.0459,312.1,1.0,1.0,2002-02-05,2004,Terra,MODIS,84,6.2,293.3,10.3,N,0,2002,2,29.989225,18.884432,65.05788
1.7456,35.5097,313.8,1.0,1.0,2002-02-05,2005,Terra,MODIS,87,6.2,294.5,10.5,N,0,2002,2,33.347725,19.488249,31.087652
-0.425,35.7106,306.7,1.0,1.0,2002-02-05,2005,Terra,MODIS,69,6.2,282.6,11.1,N,0,2002,2,20.782227,7.6564584,80.55877
0.3919,35.5017,304.2,1.0,1.0,2002-02-05,2005,Terra,MODIS,59,6.2,284.4,8.7,N,0,2002,2,22.449923,10.449588,87.67636
1.0924,34.6628,304.7,1.1,1.0,2002-02-05,2005,Terra,MODIS,50,6.2,280.7,10.1,N,0,2002,2,19.122715,6.6192026,100.01679
0.3732,34.3317,311.8,1.1,1.1,2002-02-05,2005,Terra,MODIS,83,6.2,290.2,13.5,N,0,2002,2,30.644053,18.241095,154.70213
1.1017,34.6615,300.9,1.1,1.0,2002-02-05,2005,Terra,MODIS,12,6.2,279.7,7.7,N,0,2002,2,19.122715,6.6192026,100.01679
1.088,34.6479,354.3,1.3,1.1,2002-02-06,826,Terra,MODIS,97,6.2,298.7,96.9,D,0,2002,2,19.122715,6.6192026,100.01679
1.0863,34.6597,334.1,1.3,1.1,2002-02-06,826,Terra,MODIS,82,6.2,302.6,43.0,D,0,2002,2,19.122715,6.6192026,100.01679
-0.0201,35.3062,313.9,1.5,1.2,2002-02-06,826,Terra,MODIS,45,6.2,301.4,7.1,D,0,2002,2,27.507507,14.46026,128.92606
0.3462,34.4795,325.2,1.3,1.1,2002-02-06,826,Terra,MODIS,74,6.2,307.4,15.4,D,0,2002,2,30.738115,17.860678,149.10425
0.3445,34.4909,342.8,1.3,1.1,2002-02-06,826,Terra,MODIS,90,6.2,308.7,52.7,D,0,2002,2,30.738115,17.860678,149.10425
0.8527,35.3974,320.7,1.5,1.2,2002-02-06,826,Terra,MODIS,56,6.2,306.0,12.5,D,0,2002,2,27.110537,12.198599,64.10598
0.7192,35.3519,328.7,1.5,1.2,2002-02-06,826,Terra,MODIS,75,6.2,305.9,30.1,D,0,2002,2,26.420921,11.823255,63.59579
0.7173,35.3648,321.0,1.5,1.2,2002-02-06,826,Terra,MODIS,58,6.2,305.3,15.6,D,0,2002,2,26.420921,11.823255,63.59579
0.4583,35.5012,324.8,1.5,1.2,2002-02-06,826,Terra,MODIS,70,6.2,294.4,35.9,D,0,2002,2,22.311764,10.522875,87.1466
0.4664,35.4965,317.6,1.5,1.2,2002-02-06,826,Terra,MODIS,49,6.2,296.4,22.8,D,0,2002,2,23.479448,10.842782,78.56803
0.4461,35.3341,331.0,1.5,1.2,2002-02-06,826,Terra,MODIS,80,6.2,305.1,37.2,D,0,2002,2,26.144987,12.187208,70.8442
0.3868,35.3655,318.9,1.5,1.2,2002-02-06,826,Terra,MODIS,55,6.2,304.5,12.4,D,0,2002,2,26.204996,12.143773,71.21492
1.0982,34.6486,354.4,1.3,1.1,2002-02-06,826,Terra,MODIS,97,6.2,303.3,99.3,D,0,2002,2,19.122715,6.6192026,100.01679
1.0964,34.6607,324.5,1.3,1.1,2002-02-06,826,Terra,MODIS,57,6.2,304.9,26.6,D,0,2002,2,19.122715,6.6192026,100.01679
-0.0532,34.9951,301.3,3.7,1.8,2002-02-06,2048,Terra,MODIS,40,6.2,287.4,31.7,N,0,2002,2,31.57903,18.43044,130.81279
-0.0188,35.188,300.9,1.6,1.2,2002-02-07,1953,Terra,MODIS,34,6.2,284.1,9.1,N,0,2002,2,30.477972,17.424343,137.21185
-0.0164,35.1959,301.1,1.6,1.2,2002-02-07,1953,Terra,MODIS,38,6.2,283.6,10.4,N,0,2002,2,30.477972,17.424343,137.21185
-0.9689,34.5852,319.3,1.0,1.0,2002-02-08,814,Terra,MODIS,67,6.2,297.5,10.4,D,0,2002,2,28.553753,16.612232,150.16034
0.5376,34.6776,328.6,1.0,1.0,2002-02-08,814,Terra,MODIS,76,6.2,302.0,17.7,D,0,2002,2,29.776615,16.73074,127.41329
0.4125,34.6475,317.1,1.0,1.0,2002-02-08,814,Terra,MODIS,52,6.2,300.2,5.7,D,0,2002,2,29.992498,17.095087,143.54391
0.6272,35.4435,320.8,1.0,1.0,2002-02-08,814,Terra,MODIS,54,6.2,304.1,6.7,D,0,2002,2,25.624958,11.446848,67.35396
0.4112,34.6563,328.0,1.0,1.0,2002-02-08,814,Terra,MODIS,77,6.2,300.4,16.7,D,0,2002,2,29.992498,17.095087,143.54391
1.1604,34.8273,327.1,1.0,1.0,2002-02-08,814,Terra,MODIS,64,6.2,309.3,9.0,D,0,2002,2,28.045334,13.11782,60.954903
0.0714,36.2839,317.6,1.1,1.0,2002-02-08,814,Terra,MODIS,63,6.2,300.7,10.1,D,0,2002,2,24.093956,8.923649,53.39153
0.4524,34.5685,319.9,1.0,1.0,2002-02-08,814,Terra,MODIS,61,6.2,303.0,5.6,D,0,2002,2,30.567135,17.503845,136.14507
0.4437,34.4978,319.4,1.0,1.0,2002-02-08,814,Terra,MODIS,59,6.2,302.6,5.5,D,0,2002,2,30.481455,17.745773,141.14832
0.4424,34.5067,322.2,1.0,1.0,2002-02-08,814,Terra,MODIS,69,6.2,302.0,8.3,D,0,2002,2,30.476295,17.56481,138.66145
0.9748,35.2716,325.6,1.0,1.0,2002-02-08,814,Terra,MODIS,72,6.2,305.0,14.0,D,0,2002,2,27.480093,12.419321,63.284702
0.9431,35.1755,322.2,1.0,1.0,2002-02-08,814,Terra,MODIS,64,6.2,303.0,8.5,D,0,2002,2,28.476168,12.975374,55.209633
0.8521,35.2298,325.3,1.0,1.0,2002-02-08,814,Terra,MODIS,67,6.2,306.5,11.1,D,0,2002,2,27.510519,12.488274,59.549812
0.8508,35.2387,324.6,1.0,1.0,2002-02-08,814,Terra,MODIS,64,6.2,306.0,10.3,D,0,2002,2,27.510519,12.488274,59.549812
-0.96,34.5864,316.5,1.0,1.0,2002-02-08,814,Terra,MODIS,59,6.2,297.9,8.0,D,0,2002,2,28.553753,16.612232,150.16034
0.4018,36.2482,300.3,2.3,1.5,2002-02-09,1940,Terra,MODIS,16,6.2,289.6,13.5,N,0,2002,2,28.036545,13.138302,50.171013
0.554,34.4376,324.4,1.3,1.1,2002-02-10,801,Terra,MODIS,66,6.2,307.3,10.9,D,0,2002,2,30.841135,17.958178,124.5189
0.609,35.4694,323.9,1.1,1.1,2002-02-10,801,Terra,MODIS,54,6.2,308.1,9.8,D,0,2002,2,24.70759,11.385255,75.60176
-0.0411,35.2111,320.5,1.1,1.1,2002-02-10,801,Terra,MODIS,56,6.2,305.8,8.1,D,0,2002,2,30.10175,16.933002,137.25627
0.321,35.552,323.2,1.1,1.1,2002-02-10,801,Terra,MODIS,58,6.2,298.7,15.8,D,0,2002,2,22.746544,10.250542,92.132774
-0.0181,37.3634,328.8,1.0,1.0,2002-02-10,801,Terra,MODIS,65,6.2,301.0,17.6,D,0,2002,2,17.021574,2.6263633,119.516014
-0.0105,37.3735,332.8,1.0,1.0,2002-02-10,801,Terra,MODIS,79,6.2,307.2,22.7,D,0,2002,2,17.021574,2.6263633,119.516014
-0.0092,37.3646,409.8,1.0,1.0,2002-02-10,801,Terra,MODIS,100,6.2,323.6,308.0,D,0,2002,2,17.021574,2.6263633,119.516014
-0.0079,37.3558,349.5,1.0,1.0,2002-02-10,801,Terra,MODIS,94,6.2,303.7,53.2,D,0,2002,2,17.021574,2.6263633,119.516014
-0.0002,37.3659,327.0,1.0,1.0,2002-02-10,801,Terra,MODIS,75,6.2,307.7,18.2,D,0,2002,2,17.021574,2.6263633,119.516014
0.0011,37.357,318.1,1.0,1.0,2002-02-10,801,Terra,MODIS,36,6.2,303.4,9.0,D,0,2002,2,19.260178,5.0501366,102.691284
-3.5793,38.4165,349.4,1.1,1.0,2002-02-10,802,Terra,MODIS,93,6.2,311.8,53.6,D,0,2002,2,29.587103,18.414396,89.14056
-1.4687,41.2872,314.1,1.5,1.2,2002-02-10,802,Terra,MODIS,55,6.2,295.7,11.1,D,0,2002,2,31.842411,24.016459,4.01252
-3.5808,38.4262,323.7,1.1,1.0,2002-02-10,802,Terra,MODIS,38,6.2,308.1,9.4,D,0,2002,2,29.509228,18.537771,94.06452
-0.0027,37.3781,309.2,1.8,1.3,2002-02-10,2023,Terra,MODIS,77,6.2,271.8,35.1,N,0,2002,2,18.227024,3.4408865,114.25836
-0.218,36.108,335.1,1.6,1.2,2002-02-12,749,Terra,MODIS,85,6.2,307.3,41.0,D,0,2002,2,26.50989,10.763977,53.604424
0.3975,35.426,319.4,1.8,1.3,2002-02-12,749,Terra,MODIS,58,6.2,299.3,15.2,D,0,2002,2,25.147459,11.44868,72.94854
-0.216,36.0942,331.0,1.6,1.2,2002-02-12,749,Terra,MODIS,81,6.2,307.1,30.6,D,0,2002,2,26.50989,10.763977,53.604424
-0.219,36.1017,340.9,1.6,1.2,2002-02-12,749,Terra,MODIS,89,6.2,307.4,59.1,D,0,2002,2,26.50989,10.763977,53.604424
0.2118,35.5224,310.7,2.0,1.4,2002-02-13,832,Terra,MODIS,7,6.2,293.0,12.5,D,0,2002,2,23.573597,10.157976,84.52283
1.0085,35.0585,317.0,1.8,1.3,2002-02-13,832,Terra,MODIS,50,6.2,300.7,13.8,D,0,2002,2,28.85089,13.262347,59.885963
1.096,34.8676,315.4,1.7,1.3,2002-02-13,832,Terra,MODIS,26,6.2,294.0,15.1,D,0,2002,2,29.264463,13.382745,57.060406
-0.082,35.1445,321.1,1.9,1.3,2002-02-13,832,Terra,MODIS,73,6.2,298.3,27.7,D,0,2002,2,31.282139,17.93458,137.43481
0.3801,35.5002,331.0,1.2,1.1,2002-02-14,1958,Terra,MODIS,100,6.2,282.6,43.5,N,0,2002,2,22.449923,10.449588,87.67636
0.2194,35.5248,311.0,1.2,1.1,2002-02-14,1958,Terra,MODIS,82,6.2,280.0,18.4,N,0,2002,2,23.573597,10.157976,84.52283
-2.3668,40.6358,308.8,1.1,1.0,2002-02-14,1958,Terra,MODIS,75,6.2,294.2,8.5,N,0,2002,2,31.705511,23.987299,31.014187
0.3816,35.511,310.0,1.2,1.1,2002-02-14,1958,Terra,MODIS,79,6.2,281.3,16.5,N,0,2002,2,22.449923,10.449588,87.67636
0.9373,35.3057,321.4,1.1,1.1,2002-02-15,819,Terra,MODIS,67,6.2,302.9,8.5,D,0,2002,2,26.9815,12.135395,67.80895
0.9929,34.997,319.0,1.1,1.1,2002-02-15,819,Terra,MODIS,63,6.2,291.2,8.5,D,0,2002,2,28.84363,13.515079,64.63908
0.218,35.5238,328.3,1.2,1.1,2002-02-15,820,Terra,MODIS,80,6.2,300.4,25.7,D,0,2002,2,23.573597,10.157976,84.52283
0.4549,34.5327,334.9,1.1,1.0,2002-02-15,820,Terra,MODIS,85,6.2,296.0,29.3,D,0,2002,2,30.476295,17.56481,138.66145
0.2164,35.5343,318.5,1.2,1.1,2002-02-15,820,Terra,MODIS,64,6.2,298.7,13.4,D,0,2002,2,23.573597,10.157976,84.52283
0.5873,35.1175,324.8,1.1,1.1,2002-02-15,820,Terra,MODIS,72,6.2,302.4,13.1,D,0,2002,2,27.519712,13.189207,70.17142
-2.4355,40.4681,301.2,1.0,1.0,2002-02-16,1945,Terra,MODIS,27,6.2,290.3,3.3,N,0,2002,2,31.619234,23.969553,39.31845
0.5216,35.7898,319.4,1.0,1.0,2002-02-17,807,Terra,MODIS,30,6.2,297.6,9.3,D,0,2002,2,27.166866,14.058427,71.77129
