"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","year","month"
"1",3.962,34.1568,335.1,1.5,1.2,2016-02-01,"0759","Terra","MODIS",81,6.2,304,44.8,"D",0,2016,2
"2",-1.5172,40.853,319.4,1.4,1.2,2016-02-01,"0801","Terra","MODIS",40,6.2,300.6,14.2,"D",0,2016,2
"3",-1.8786,40.589,320.5,1.4,1.2,2016-02-01,"0801","Terra","MODIS",36,6.2,301.9,11.8,"D",0,2016,2
"4",-1.8872,40.5754,328.4,1.4,1.2,2016-02-01,"0801","Terra","MODIS",74,6.2,301.3,24.6,"D",0,2016,2
"5",-1.0589,37.3258,318.5,1,1,2016-02-01,"0801","Terra","MODIS",70,6.2,295,10.3,"D",0,2016,2
"6",-2.7997,39.8228,322.4,1,1,2016-02-01,"1055","Aqua","MODIS",26,6.2,299.8,10.3,"D",0,2016,2
"7",-1.8805,40.5823,331.7,1,1,2016-02-01,"1056","Aqua","MODIS",42,6.2,309.7,14.7,"D",0,2016,2
"8",-1.3536,41.1143,335,1,1,2016-02-01,"1056","Aqua","MODIS",58,6.2,309,22.6,"D",0,2016,2
"9",-1.5115,40.8445,329.9,1,1,2016-02-01,"1056","Aqua","MODIS",68,6.2,305.8,15.2,"D",0,2016,2
"10",-2.0525,40.7936,325.8,1,1,2016-02-01,"1056","Aqua","MODIS",46,6.2,304,11.7,"D",0,2016,2
"11",-2.2813,40.738,324.4,1,1,2016-02-01,"1056","Aqua","MODIS",36,6.2,304.3,9.2,"D",0,2016,2
"12",-2.1629,40.8621,327.6,1,1,2016-02-01,"1056","Aqua","MODIS",59,6.2,304.2,8.8,"D",0,2016,2
"13",-2.1655,40.8441,326.8,1,1,2016-02-01,"1056","Aqua","MODIS",47,6.2,303.3,7.9,"D",0,2016,2
"14",-2.0924,40.8362,337.8,1,1,2016-02-01,"1056","Aqua","MODIS",84,6.2,305.6,23.3,"D",0,2016,2
"15",-2.0937,40.8272,334.1,1,1,2016-02-01,"1056","Aqua","MODIS",79,6.2,304.9,18.4,"D",0,2016,2
"16",-0.0586,35.5293,326.7,1.5,1.2,2016-02-01,"1056","Aqua","MODIS",79,6.2,295.6,38.4,"D",0,2016,2
"17",-0.0606,35.5159,314.4,1.5,1.2,2016-02-01,"1056","Aqua","MODIS",58,6.2,292.5,16.7,"D",0,2016,2
"18",-1.0568,37.3231,316.4,1.2,1.1,2016-02-01,"1056","Aqua","MODIS",36,6.2,299.5,9.4,"D",0,2016,2
"19",-1.0583,37.3124,318.9,1.2,1.1,2016-02-01,"1056","Aqua","MODIS",52,6.2,300.2,12.2,"D",0,2016,2
"20",-2.4651,40.6122,329.4,1,1,2016-02-01,"1056","Aqua","MODIS",68,6.2,302.8,14.6,"D",0,2016,2
"21",-2.4856,40.597,339.4,1,1,2016-02-01,"1056","Aqua","MODIS",86,6.2,302.4,28.1,"D",0,2016,2
"22",-2.0446,40.3391,327.4,1,1,2016-02-01,"1056","Aqua","MODIS",51,6.2,303.9,11,"D",0,2016,2
"23",-1.8895,40.5836,347.4,1,1,2016-02-01,"1056","Aqua","MODIS",91,6.2,308.4,41.7,"D",0,2016,2
"24",-2.4843,40.6059,331.2,1,1,2016-02-01,"1056","Aqua","MODIS",59,6.2,304.3,16.2,"D",0,2016,2
"25",-2.4933,40.6072,327.7,1,1,2016-02-01,"1056","Aqua","MODIS",27,6.2,302.7,11.1,"D",0,2016,2
"26",-1.8307,41.019,324.3,1,1,2016-02-03,"0748","Terra","MODIS",65,6.2,299.9,12.6,"D",0,2016,2
"27",-1.3302,40.8721,324,1,1,2016-02-03,"0748","Terra","MODIS",59,6.2,305.9,11.1,"D",0,2016,2
"28",-1.3289,40.8631,322.2,1,1,2016-02-03,"0748","Terra","MODIS",47,6.2,303.9,9.1,"D",0,2016,2
"29",-2.0681,40.7543,325.3,1,1,2016-02-03,"0748","Terra","MODIS",76,6.2,297.6,13.6,"D",0,2016,2
"30",-2.5133,40.6504,316.5,1,1,2016-02-03,"0749","Terra","MODIS",50,6.2,289,9.3,"D",0,2016,2
"31",-2.4865,40.6121,334.4,1.2,1.1,2016-02-03,"1043","Aqua","MODIS",75,6.2,304.2,28.7,"D",0,2016,2
"32",-2.4849,40.6229,336.7,1.2,1.1,2016-02-03,"1043","Aqua","MODIS",80,6.2,302.8,33.9,"D",0,2016,2
"33",-1.829,41.0146,327,1.1,1.1,2016-02-03,"1043","Aqua","MODIS",58,6.2,298.7,19.7,"D",0,2016,2
"34",-2.1649,40.8608,324.7,1.2,1.1,2016-02-03,"1043","Aqua","MODIS",55,6.2,304.1,9.1,"D",0,2016,2
"35",-2.2529,40.6107,328.6,1.2,1.1,2016-02-03,"1043","Aqua","MODIS",64,6.2,302.9,16.7,"D",0,2016,2
"36",-2.2672,40.5798,326.6,1.2,1.1,2016-02-03,"1043","Aqua","MODIS",68,6.2,302.7,13.1,"D",0,2016,2
"37",-2.4442,40.6281,328.4,1.2,1.1,2016-02-03,"1043","Aqua","MODIS",63,6.2,301.6,15.3,"D",0,2016,2
"38",-2.2513,40.604,324.5,1.2,1.1,2016-02-03,"1043","Aqua","MODIS",33,6.2,302.7,12.1,"D",0,2016,2
"39",-2.454,40.6295,333.8,1.2,1.1,2016-02-03,"1043","Aqua","MODIS",77,6.2,303.5,25.2,"D",0,2016,2
"40",-1.0611,37.3056,318.3,2,1.4,2016-02-03,"1044","Aqua","MODIS",54,6.2,295.9,25.2,"D",0,2016,2
"41",-1.0549,37.3159,318.2,2,1.4,2016-02-03,"1044","Aqua","MODIS",64,6.2,299.8,27.1,"D",0,2016,2
"42",3.4042,39.4392,340.1,1.2,1.1,2016-02-03,"1045","Aqua","MODIS",80,6.2,316.5,32.9,"D",0,2016,2
"43",4.4006,34.3328,309.6,1,1,2016-02-03,"2011","Terra","MODIS",77,6.2,299.5,6,"N",0,2016,2
"44",1.2085,38.9522,323.2,3.6,1.8,2016-02-04,"0830","Terra","MODIS",29,6.2,306.2,83.7,"D",0,2016,2
