latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-0.8329,36.3769,310.2,1,1,2003-01-03,0807,Terra,MODIS,63,6.2,295.2,4.6,D,0
1.0083,34.8893,313.8,1,1,2003-01-03,0807,Terra,MODIS,51,6.2,297,6.5,D,0
-0.2284,35.8958,317.9,1.2,1.1,2003-01-03,1059,Aqua,MODIS,56,6.2,300.5,9.7,D,0
-1.3336,40.9009,324.2,1.2,1.1,2003-01-03,1059,Aqua,MODIS,44,6.2,303,16.1,D,0
-1.2818,40.9537,320.2,1.1,1.1,2003-01-05,0755,Terra,MODIS,64,6.2,299.1,11.3,D,0
-2.0668,40.7249,327.9,1.1,1.1,2003-01-05,0755,Terra,MODIS,76,6.2,303.1,16.6,D,0
-2.0763,40.7235,325.9,1.1,1.1,2003-01-05,0755,Terra,MODIS,73,6.2,302.8,14,D,0
-2.0748,40.7134,328.6,1.1,1.1,2003-01-05,0755,Terra,MODIS,77,6.2,301.9,18.2,D,0
-2.2743,40.4896,316.7,1.1,1.1,2003-01-05,0755,Terra,MODIS,51,6.2,300.7,8.1,D,0
-3.7074,39.7589,321.5,1.1,1.1,2003-01-05,1046,Aqua,MODIS,62,6.2,301.2,11.6,D,0
-1.8811,40.8883,330.2,1,1,2003-01-05,1046,Aqua,MODIS,81,6.2,302.7,20.2,D,0
-1.2847,40.9413,328.4,1,1,2003-01-05,1046,Aqua,MODIS,76,6.2,304.3,16.1,D,0
-2.4088,40.7562,322.6,1,1,2003-01-07,0743,Terra,MODIS,74,6.2,302,10.2,D,0
-2.4125,40.7493,320.6,1.5,1.2,2003-01-07,1034,Aqua,MODIS,73,6.2,299.9,13,D,0
0.5873,34.6642,311.4,1.3,1.1,2003-01-08,0825,Terra,MODIS,50,6.2,299.8,6.9,D,0
0.414,34.5225,314,1.3,1.1,2003-01-08,0825,Terra,MODIS,64,6.2,300.5,9.8,D,0
0.313,34.5838,310.5,1.3,1.1,2003-01-08,0825,Terra,MODIS,55,6.2,299.6,6.8,D,0
-0.641,34.2523,318.9,1,1,2003-01-08,1118,Aqua,MODIS,64,6.2,301.4,8.3,D,0
