latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month,max_temp,min_temp,rainfall
1.2041,36.5434,318.9,2.6,1.6,2007-04-01,735,Terra,MODIS,50,6.2,295.4,38.2,D,0,2007,4,20.522053,8.244687,146.79497
-2.5034,40.5886,325.0,1.2,1.1,2007-04-01,736,Terra,MODIS,54,6.2,302.8,13.6,D,0,2007,4,31.644516,22.255157,41.35318
-2.5018,40.5782,328.0,1.2,1.1,2007-04-01,736,Terra,MODIS,69,6.2,301.5,17.2,D,0,2007,4,31.767134,22.15301,40.64983
-2.9288,39.9686,323.0,2.3,1.5,2007-04-01,1031,Aqua,MODIS,74,6.2,299.2,30.4,D,0,2007,4,30.263084,19.445414,35.308296
-1.925,40.9597,324.5,1.8,1.3,2007-04-01,1031,Aqua,MODIS,67,6.2,296.9,28.8,D,0,2007,4,31.802248,,
-2.9157,39.9825,321.0,2.3,1.5,2007-04-01,1031,Aqua,MODIS,33,6.2,300.8,20.4,D,0,2007,4,30.350178,19.488255,35.12771
-3.0516,40.033,321.3,2.2,1.5,2007-04-01,1031,Aqua,MODIS,74,6.2,300.1,22.2,D,0,2007,4,30.09203,19.57369,42.566067
-3.0488,40.053,323.6,2.2,1.4,2007-04-01,1031,Aqua,MODIS,77,6.2,299.7,27.7,D,0,2007,4,30.02625,19.53449,46.051296
-2.9186,39.9623,321.6,2.3,1.5,2007-04-01,1031,Aqua,MODIS,44,6.2,299.6,24.1,D,0,2007,4,30.263084,19.445414,35.308296
-1.6871,41.4187,321.7,1.7,1.3,2007-04-01,1031,Aqua,MODIS,70,6.2,299.1,23.1,D,0,2007,4,31.337324,22.389322,35.242985
0.3181,40.6198,331.3,1.8,1.3,2007-04-01,1032,Aqua,MODIS,66,6.2,301.1,35.7,D,0,2007,4,33.74887,21.529999,1.2517288
0.3275,40.6023,326.8,1.8,1.3,2007-04-01,1032,Aqua,MODIS,49,6.2,300.5,27.5,D,0,2007,4,33.74887,21.529999,1.2517288
0.3204,40.6355,339.5,1.8,1.3,2007-04-01,1032,Aqua,MODIS,87,6.2,305.0,63.6,D,0,2007,4,33.78455,21.438168,1.19437
0.3298,40.6181,343.6,1.8,1.3,2007-04-01,1032,Aqua,MODIS,90,6.2,305.4,81.3,D,0,2007,4,33.74887,21.529999,1.2517288
-2.4006,40.6551,307.8,1.1,1.1,2007-04-01,1956,Terra,MODIS,70,6.2,295.5,7.1,N,0,2007,4,32.122166,22.30824,53.086292
0.3916,40.7508,310.4,1.2,1.1,2007-04-01,1957,Terra,MODIS,41,6.2,297.3,7.1,N,0,2007,4,33.864445,21.45962,1.6192343
2.7234,39.4846,300.8,1.1,1.0,2007-04-01,1958,Terra,MODIS,14,6.2,289.1,4.1,N,0,2007,4,31.459099,19.137245,1.7315727
3.8333,34.1812,332.6,1.0,1.0,2007-04-02,817,Terra,MODIS,64,6.2,307.3,19.5,D,0,2007,4,,16.506104,107.73014
0.3383,34.6342,317.1,1.1,1.0,2007-04-02,818,Terra,MODIS,62,6.2,300.9,8.5,D,0,2007,4,27.278921,13.7624035,208.9235
-1.9688,41.112,324.0,1.9,1.4,2007-04-02,1114,Aqua,MODIS,23,6.2,302.2,22.9,D,0,2007,4,,,
-2.4487,40.6866,326.1,1.8,1.3,2007-04-02,1114,Aqua,MODIS,40,6.2,302.7,18.3,D,0,2007,4,32.110813,22.421158,43.71913
-2.8581,40.0842,328.6,1.6,1.2,2007-04-02,1114,Aqua,MODIS,49,6.2,306.6,19.7,D,0,2007,4,31.240826,20.292448,41.160545
-2.8962,39.9968,328.6,1.5,1.2,2007-04-02,1114,Aqua,MODIS,72,6.2,305.7,21.6,D,0,2007,4,30.350178,19.488255,35.12771
-2.9782,40.0572,339.0,1.6,1.2,2007-04-02,1114,Aqua,MODIS,86,6.2,302.9,51.5,D,0,2007,4,30.213474,19.619892,42.00544
-3.3246,39.6649,332.8,1.4,1.2,2007-04-02,1114,Aqua,MODIS,81,6.2,301.2,32.9,D,0,2007,4,30.385487,19.185316,28.711365
-2.4604,40.6882,330.1,1.8,1.3,2007-04-02,1114,Aqua,MODIS,54,6.2,303.0,29.8,D,0,2007,4,,22.478407,40.43407
-3.1891,40.1014,326.9,1.6,1.2,2007-04-02,1114,Aqua,MODIS,69,6.2,302.3,22.1,D,0,2007,4,29.917862,19.503391,57.99406
-4.3987,39.524,324.4,1.4,1.2,2007-04-02,1114,Aqua,MODIS,59,6.2,303.5,14.1,D,0,2007,4,,20.655832,67.14115
0.0921,35.5175,331.0,1.0,1.0,2007-04-02,1115,Aqua,MODIS,79,6.2,295.3,23.9,D,0,2007,4,19.37854,7.062714,289.54184
4.495,35.9347,340.4,1.1,1.0,2007-04-02,1116,Aqua,MODIS,0,6.2,311.9,22.2,D,0,2007,4,36.665394,21.83478,26.697287
3.2787,34.4392,334.1,1.0,1.0,2007-04-02,1116,Aqua,MODIS,67,6.2,313.1,16.4,D,0,2007,4,,,
3.28,34.4481,349.8,1.0,1.0,2007-04-02,1116,Aqua,MODIS,92,6.2,315.3,43.6,D,0,2007,4,,,
-2.2365,40.3677,317.5,2.0,1.4,2007-04-03,724,Terra,MODIS,57,6.2,296.0,18.2,D,0,2007,4,32.324574,21.893803,35.205067
-1.4555,41.288,319.9,1.7,1.3,2007-04-03,724,Terra,MODIS,51,6.2,298.7,21.1,D,0,2007,4,31.670477,22.033142,20.156296
-1.8793,41.3547,318.0,3.0,1.6,2007-04-03,1019,Aqua,MODIS,52,6.2,296.2,36.4,D,0,2007,4,,22.79756,32.828644
-2.2172,40.7911,313.7,3.3,1.7,2007-04-03,1019,Aqua,MODIS,22,6.2,291.1,55.7,D,0,2007,4,32.192814,22.702768,46.066837
-1.8794,41.3591,323.3,3.0,1.6,2007-04-03,1019,Aqua,MODIS,0,6.2,296.2,57.7,D,0,2007,4,,22.79756,32.828644
-2.4434,40.7477,310.2,1.1,1.1,2007-04-03,2242,Aqua,MODIS,79,6.2,295.6,9.4,N,0,2007,4,32.151546,22.412386,41.85576
0.4678,34.4984,347.9,1.1,1.0,2007-04-04,806,Terra,MODIS,93,6.2,303.2,50.6,D,0,2007,4,27.87619,14.807764,159.37794
0.4664,34.5078,324.3,1.1,1.0,2007-04-04,806,Terra,MODIS,68,6.2,303.9,11.5,D,0,2007,4,27.580534,14.437069,165.55211
-0.0966,35.0181,321.3,1.0,1.0,2007-04-04,806,Terra,MODIS,66,6.2,298.4,9.0,D,0,2007,4,29.545418,15.084542,110.46908
-0.1183,39.8276,326.2,1.5,1.2,2007-04-04,806,Terra,MODIS,71,6.2,302.2,20.3,D,0,2007,4,33.607258,21.180214,1.9905654
-0.1514,35.7011,323.4,1.0,1.0,2007-04-04,806,Terra,MODIS,61,6.2,297.5,12.7,D,0,2007,4,19.84971,7.194191,241.79747
-2.3426,40.7643,316.2,1.9,1.3,2007-04-04,807,Terra,MODIS,20,6.2,294.2,12.6,D,0,2007,4,,22.582663,47.5442
-4.1358,38.8798,318.0,1.4,1.2,2007-04-04,807,Terra,MODIS,54,6.2,300.2,9.4,D,0,2007,4,29.731892,16.8159,23.38692
-4.1355,38.8721,324.5,1.0,1.0,2007-04-04,1101,Aqua,MODIS,60,6.2,305.1,8.7,D,0,2007,4,29.66558,16.559223,19.72193
-4.6393,39.1458,331.0,1.0,1.0,2007-04-04,1101,Aqua,MODIS,78,6.2,308.1,11.1,D,0,2007,4,,,
-4.6303,39.1445,345.9,1.0,1.0,2007-04-04,1101,Aqua,MODIS,92,6.2,307.9,34.8,D,0,2007,4,,,
-4.5932,39.2121,338.3,1.0,1.0,2007-04-04,1101,Aqua,MODIS,86,6.2,309.5,17.4,D,0,2007,4,32.294193,20.19192,48.54396
-4.2179,38.8715,350.7,1.0,1.0,2007-04-04,1101,Aqua,MODIS,94,6.2,305.4,49.9,D,0,2007,4,29.661182,16.638424,20.905716
-4.2268,38.8728,326.9,1.0,1.0,2007-04-04,1101,Aqua,MODIS,66,6.2,304.8,11.0,D,0,2007,4,29.661182,16.638424,20.905716
-4.2757,38.859,330.9,1.0,1.0,2007-04-04,1101,Aqua,MODIS,77,6.2,302.5,19.2,D,0,2007,4,29.667974,16.692648,22.279276
-4.2719,38.8858,321.6,1.0,1.0,2007-04-04,1101,Aqua,MODIS,54,6.2,302.4,8.9,D,0,2007,4,29.88175,16.985254,24.44376
-4.2192,38.8625,327.2,1.0,1.0,2007-04-04,1101,Aqua,MODIS,67,6.2,304.9,11.2,D,0,2007,4,29.661182,16.638424,20.905716
-4.1342,38.881,325.9,1.0,1.0,2007-04-04,1101,Aqua,MODIS,62,6.2,305.2,10.1,D,0,2007,4,29.731892,16.8159,23.38692
-4.6316,39.1356,337.5,1.0,1.0,2007-04-04,1101,Aqua,MODIS,86,6.2,306.8,20.6,D,0,2007,4,,,
-2.1757,40.8511,356.2,1.1,1.1,2007-04-04,1102,Aqua,MODIS,97,6.2,303.7,72.8,D,0,2007,4,32.10152,22.730787,47.48554
-3.9509,39.4501,335.0,1.0,1.0,2007-04-04,1102,Aqua,MODIS,65,6.2,307.2,18.6,D,0,2007,4,30.929884,18.73649,39.302277
-3.9163,39.3717,333.6,1.0,1.0,2007-04-04,1102,Aqua,MODIS,55,6.2,306.8,17.2,D,0,2007,4,30.408304,18.202192,29.182915
-3.8751,39.0863,332.8,1.0,1.0,2007-04-04,1102,Aqua,MODIS,81,6.2,306.9,15.8,D,0,2007,4,30.264303,17.465862,22.857748
-1.7902,37.1912,349.4,1.0,1.0,2007-04-04,1102,Aqua,MODIS,94,6.2,301.9,52.7,D,0,2007,4,25.345163,10.813645,1.0252335
-1.781,37.1899,334.1,1.0,1.0,2007-04-04,1102,Aqua,MODIS,63,6.2,306.3,23.0,D,0,2007,4,25.345163,10.813645,1.0252335
-2.3804,40.7079,338.4,1.1,1.1,2007-04-04,1102,Aqua,MODIS,84,6.2,303.9,27.9,D,0,2007,4,32.198578,22.414011,47.550724
-1.3711,36.9664,337.2,1.1,1.0,2007-04-04,1102,Aqua,MODIS,80,6.2,308.6,26.3,D,0,2007,4,26.245003,11.68886,9.4732275
-2.379,40.7179,326.9,1.1,1.1,2007-04-04,1102,Aqua,MODIS,57,6.2,303.6,8.5,D,0,2007,4,32.23899,22.439783,44.63319
-2.3209,40.6114,325.6,1.1,1.1,2007-04-04,1102,Aqua,MODIS,52,6.2,301.7,10.6,D,0,2007,4,32.118576,22.27401,47.293564
-2.3223,40.6015,330.1,1.1,1.1,2007-04-04,1102,Aqua,MODIS,68,6.2,301.4,16.9,D,0,2007,4,32.118576,22.27401,47.293564
