,,,rmse_train,rmse_train,rmse_train,rmse_train,rmse_train,rmse_test,rmse_test,rmse_test,rmse_test,mase_test,mase_test,mase_test,mase_test,bias_test,bias_test,bias_test,bias_test
,,,count,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
model_type,years,theta_param,,,,,,,,,,,,,,,,,
BNB,5,1.5,1000,121.2122,22.0558,50.8135,205.4305,126.2017,35.3602,44.523,252.4303,0.3875,0.1062,0.1318,1.1341,-1.3038,24.5965,-100.6914,82.1719
BNB,5,5.0,1000,121.437,21.9599,61.1956,192.2731,126.4601,36.552,45.2214,256.4936,0.3864,0.1041,0.1317,1.0593,-1.3034,24.6151,-100.8323,82.7483
BNB,5,10.0,1000,121.3772,22.3176,63.2402,216.392,126.309,36.8233,37.8473,308.4312,0.3862,0.1058,0.1388,1.1281,-1.3026,24.6077,-100.2669,82.8583
BNB,5,100.0,1000,120.4676,22.5576,67.1724,201.1916,126.0756,36.0364,38.9069,298.9396,0.3874,0.105,0.1311,1.0646,-1.2899,24.5881,-100.02,82.7094
BNB,10,1.5,1000,123.5326,17.9421,65.2284,187.2226,125.4228,28.3884,41.0418,271.378,0.3859,0.0727,0.178,0.7038,0.0762,17.0716,-77.2431,77.9279
BNB,10,5.0,1000,124.032,18.969,72.394,185.6321,125.7564,28.2593,58.8815,244.8591,0.3845,0.0743,0.1967,0.7207,0.0709,17.0587,-76.8666,77.5774
BNB,10,10.0,1000,124.1742,18.082,75.1071,183.3036,125.8101,27.5385,62.2715,236.3412,0.3851,0.0747,0.1842,0.7233,0.0757,17.067,-77.1504,77.8675
BNB,10,100.0,1000,124.1866,18.6372,68.5001,192.1494,125.3425,27.3765,53.4902,230.9348,0.3853,0.0743,0.1834,0.6811,0.085,17.0681,-77.0238,77.8618
BNB,20,1.5,1000,125.0607,17.1428,82.8738,179.1139,125.8506,22.036,55.2911,218.9314,0.3794,0.0544,0.2425,0.5981,-0.2593,11.7084,-46.4633,39.7451
BNB,20,5.0,1000,125.412,17.0654,80.1326,200.4109,125.8679,21.5308,64.1782,201.5471,0.3795,0.0543,0.2328,0.5622,-0.268,11.7074,-46.6088,39.7358
BNB,20,10.0,1000,125.4079,16.7682,79.7311,174.4519,125.7057,20.5214,66.8029,201.8195,0.3783,0.0538,0.243,0.5823,-0.2729,11.7062,-46.4929,39.9104
BNB,20,100.0,1000,125.5936,17.3467,70.771,177.969,125.8315,20.8745,57.8205,190.2392,0.3783,0.0529,0.2475,0.5713,-0.2679,11.7117,-46.8966,39.972
BNB,30,1.5,1000,126.4633,16.4013,81.9085,192.954,127.4336,20.2131,71.6166,200.6015,0.3783,0.0475,0.2505,0.5353,-0.252,9.5117,-30.3119,42.8342
BNB,30,5.0,1000,126.5254,16.1222,82.923,188.2289,127.3717,20.4509,75.3346,196.8487,0.3775,0.0466,0.2469,0.5091,-0.2402,9.5052,-30.8209,43.0801
BNB,30,10.0,1000,125.7922,17.0293,79.8153,193.1847,126.8688,20.1696,76.3312,200.9213,0.3773,0.046,0.2443,0.5444,-0.2415,9.5055,-30.7074,43.173
BNB,30,100.0,1000,126.6483,16.4853,66.7099,193.8066,127.5397,20.2857,71.5181,192.876,0.3783,0.0463,0.2407,0.5353,-0.2385,9.5109,-30.7828,43.0028
NB,5,1.5,1000,121.2048,18.8251,70.9581,180.1562,126.4853,33.6633,42.7207,269.5693,0.3873,0.1035,0.1304,1.0458,-1.306,24.5945,-100.7056,82.0858
NB,5,5.0,1000,121.2016,18.8222,70.9581,180.2832,126.4797,33.6824,42.1758,269.4969,0.3873,0.1036,0.1304,1.059,-1.3029,24.6156,-100.7056,82.7553
NB,5,10.0,1000,121.2057,18.8175,70.9581,180.5869,126.4914,33.6577,42.6977,269.4969,0.3873,0.1036,0.1304,1.059,-1.2998,24.6081,-100.2885,82.7553
NB,5,100.0,1000,121.2044,18.8344,70.5034,180.5869,126.4783,33.6507,42.1758,269.5693,0.3873,0.1036,0.1304,1.059,-1.2919,24.5923,-100.2885,82.7553
NB,10,1.5,1000,123.9626,13.5973,77.195,168.7314,125.9263,24.8082,57.0113,241.6186,0.3846,0.071,0.1765,0.6897,0.0799,17.0716,-77.2176,77.9899
NB,10,5.0,1000,123.9643,13.5952,77.1447,168.8024,125.9376,24.8237,57.0054,241.8189,0.3846,0.071,0.1762,0.6907,0.0707,17.0639,-76.8302,77.6535
NB,10,10.0,1000,123.9625,13.5913,77.1447,168.7314,125.9347,24.8145,57.0054,242.3199,0.3846,0.0709,0.1762,0.6901,0.076,17.0688,-77.0446,77.9244
