latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month
-1.5127,41.1664,315.0,2.4,1.5,2017-11-01,717,Terra,MODIS,45,6.2,293.3,33.6,D,0,2017,11
-1.9523,41.134,319.7,2.3,1.5,2017-11-01,718,Terra,MODIS,64,6.2,294.7,33.8,D,0,2017,11
-1.9564,41.1391,318.0,2.3,1.5,2017-11-01,718,Terra,MODIS,49,6.2,294.2,27.0,D,0,2017,11
0.9239,40.7766,315.6,4.0,1.9,2017-11-01,1013,Aqua,MODIS,29,6.2,291.7,57.1,D,0,2017,11
1.0243,39.1186,311.8,4.1,1.9,2017-11-08,1020,Aqua,MODIS,0,6.2,284.5,42.7,D,0,2017,11
-0.1371,35.6724,323.1,1.2,1.1,2017-11-09,1102,Aqua,MODIS,81,6.2,287.9,24.8,D,0,2017,11
-0.1355,35.6831,311.2,1.2,1.1,2017-11-09,1102,Aqua,MODIS,68,6.2,289.1,11.0,D,0,2017,11
-4.0014,39.5595,326.5,1.2,1.1,2017-11-11,1049,Aqua,MODIS,77,6.2,305.5,17.4,D,0,2017,11
-1.0545,39.6015,334.2,1.1,1.1,2017-11-13,742,Terra,MODIS,33,6.2,309.5,24.5,D,0,2017,11
-0.8222,39.648,315.9,3.3,1.7,2017-11-14,825,Terra,MODIS,38,6.2,293.2,42.4,D,0,2017,11
-2.3537,39.0043,313.1,3.1,1.7,2017-11-14,825,Terra,MODIS,19,6.2,290.9,34.9,D,0,2017,11
-0.0565,35.1416,315.6,1.0,1.0,2017-11-16,812,Terra,MODIS,67,6.2,297.4,7.5,D,0,2017,11
-0.9535,34.8138,309.2,1.1,1.1,2017-11-16,1108,Aqua,MODIS,56,6.2,289.0,5.9,D,0,2017,11
0.6944,35.205,318.5,1.0,1.0,2017-11-16,1109,Aqua,MODIS,71,6.2,292.8,11.6,D,0,2017,11
-2.3357,39.1278,321.7,1.0,1.0,2017-11-18,1055,Aqua,MODIS,25,6.2,299.4,11.7,D,0,2017,11
-2.0973,40.8743,324.0,1.0,1.0,2017-11-20,748,Terra,MODIS,68,6.2,302.1,11.0,D,0,2017,11
-2.0986,40.8833,322.4,1.0,1.0,2017-11-20,748,Terra,MODIS,46,6.2,302.5,8.6,D,0,2017,11
0.0513,34.1392,315.9,1.6,1.2,2017-11-21,831,Terra,MODIS,51,6.2,300.6,12.9,D,0,2017,11
1.4844,38.0509,318.8,1.7,1.3,2017-11-23,818,Terra,MODIS,19,6.2,299.5,25.3,D,0,2017,11
1.1995,38.9531,316.5,4.1,1.9,2017-11-24,1020,Aqua,MODIS,45,6.2,292.9,70.1,D,0,2017,11
-1.01,39.9127,318.9,1.5,1.2,2017-11-25,806,Terra,MODIS,46,6.2,299.5,19.6,D,0,2017,11
-2.2181,40.8383,328.5,1.1,1.1,2017-11-25,1102,Aqua,MODIS,47,6.2,304.0,12.2,D,0,2017,11
-2.2135,40.8421,327.9,1.1,1.1,2017-11-25,1102,Aqua,MODIS,43,6.2,303.4,14.3,D,0,2017,11
-1.9509,41.3018,320.0,1.2,1.1,2017-11-27,754,Terra,MODIS,0,6.2,300.0,10.1,D,0,2017,11
-2.211,40.8368,322.6,2.4,1.5,2017-11-30,1120,Aqua,MODIS,70,6.2,298.3,26.1,D,0,2017,11
