month,year,count,mean_brightness,mean_bright31,mean_frp,mean_max_temp,mean_min_temp,mean_rainfall,anomaly,average_temp
11,2000,24,326.6125,299.6125,30.05,31.8432655,21.755311247826086,76.34276947826088,10.087954252173915,26.799288373913043
12,2000,13,318.95384615384614,297.9769230769231,20.200000000000003,28.70429218181818,18.388798166666664,53.200712,10.315494015151515,23.54654517424242
1,2001,45,319.4511111111111,298.79333333333335,19.522222222222222,27.25931612195122,20.06678404651163,41.9885418,7.1925320754395905,23.663050084231422
2,2001,175,322.93542857142853,301.416,21.372571428571426,29.463566930232556,18.195270612138728,155.57633004624276,11.268296318093828,23.829418771185644
3,2001,166,325.7789156626506,300.2674698795181,32.49096385542169,28.538825766871163,17.586203427160495,95.68176657782608,10.952622339710668,23.062514597015827
4,2001,47,324.07234042553193,299.23617021276596,41.02978723404256,32.475139863636365,20.18018806521739,33.73175779130435,12.294951798418975,26.327663964426876
5,2001,70,326.95714285714286,301.9714285714286,37.50714285714286,31.246763885714284,19.13655312857143,26.190867483428573,12.110210757142855,25.191658507142854
6,2001,16,318.03125,293.90625,30.91875,29.92369857142857,17.31919889285714,33.29362414,12.604499678571429,23.621448732142856
7,2001,32,321.7,298.465625,22.9625,27.8306143125,15.91141625,56.5032745625,11.9191980625,21.87101528125
8,2001,131,324.28549618320613,298.03282442748093,39.53282442748092,28.266024140625,17.080365439516132,144.30813275806452,11.185658701108867,22.673194790070568
9,2001,201,325.4393034825871,299.91940298507467,39.27213930348259,26.067390124378107,16.7329748489899,41.2732080530303,9.334415275388206,21.400182486684002
10,2001,188,327.59840425531917,300.0037234042553,41.655851063829786,28.816993650537633,19.215680122826086,11.880623992989129,9.601313527711547,24.01633688668186
11,2001,52,324.3403846153846,300.86538461538464,35.00961538461539,32.818002102040815,21.847964421568626,68.966957,10.970037680472188,27.33298326180472
12,2001,105,322.46190476190475,297.7047619047619,32.843809523809526,28.196052469387755,16.457804656862745,127.88930673529411,11.73824781252501,22.32692856312525
1,2002,80,319.39125,296.915,22.025,26.857226679487177,18.037008724358973,45.640588353846155,8.820217955128204,22.447117701923077
2,2002,206,322.8883495145631,299.5019417475728,23.881553398058255,24.716183406862747,13.85157742401961,186.80852030392157,10.864605982843138,19.28388041544118
3,2002,53,324.27169811320755,299.0566037735849,35.35094339622641,28.099401666666665,16.77154974509804,39.706640592156866,11.327851921568627,22.435475705882354
4,2002,106,322.03018867924527,297.37264150943395,49.09528301886793,24.592443980392158,13.251308702941175,42.18521580588235,11.341135277450983,18.921876341666668
5,2002,19,322.2315789473684,299.5210526315789,28.910526315789472,28.94372338888889,17.820517111111112,55.37527080555556,11.12320627777778,23.38212025
6,2002,23,315.2217391304348,294.45217391304345,15.608695652173912,25.839617304347826,14.254996043478261,69.05139373913043,11.584621260869564,20.04730667391304
7,2002,242,324.7421487603306,299.66322314049586,32.913223140495866,26.76720650638298,15.882576077477477,99.14815447747748,10.884630428905503,21.32489129193023
8,2002,176,323.0511363636364,298.49886363636364,24.535227272727273,28.446054739884396,18.68137499137931,109.86179849425287,9.764679748505085,23.56371486563185
