rmse_train,rmse_test,mase_test,bias_test,theta,n
361.7839479578938,522.1644057829552,1.1800044832997085,-inf,5,60
396.07585552938383,465.98193813351463,0.8589503280224929,-inf,5,60
551.6094444139501,570.4239651347058,1.107466681747064,-inf,5,60
335.6336979009507,425.81333938710753,0.8239290018626054,-inf,5,60
407.46377650862,459.66228545168536,0.9522803241105336,-inf,5,60
411.0720739724361,512.5970639791063,0.7324531168217738,-inf,5,60
413.6817164197615,455.83302864097067,0.9026497989105534,-inf,5,60
451.63407016447877,447.7757995544943,0.7254748066126454,-inf,5,60
487.47677295094445,403.8501165861744,0.6689174778727359,-inf,5,60
437.52002335131283,774.8773558871537,1.360842203462409,-inf,5,60
358.3873312028017,455.66974517370215,0.8962243329223556,-inf,5,60
373.32185622239336,326.48060177188677,0.6766086538626572,-inf,5,60
430.4100757804507,480.4640985547203,0.766671154191348,-inf,5,60
881.6899020252717,1119.694526794399,1.5867705468988695,-inf,5,60
446.31831876662494,370.5908570557743,0.5147023574108031,-inf,5,60
407.7407008953934,350.38692897994923,0.6430376486873662,-inf,5,60
404.6760535704248,369.91023685934044,0.6390578908554572,-inf,5,60
431.22900915097694,333.78810643880047,0.5819831654746266,-0.759626557868772,5,60
389.55254780324566,402.4454414368901,0.8569613030397344,-inf,5,60
392.37325448268433,481.40428262878316,0.832785692077221,-inf,5,60
397.93301886121486,310.40001073883144,0.5367617732781101,-inf,5,60
402.52965729247825,398.22617108037156,0.8161927978374204,-1.0541143970003874,5,60
508.12254509452083,482.1680205073746,0.7945283216104415,-inf,5,60
417.68611121271437,345.05651710987865,0.529765612832892,-inf,5,60
409.88806907089486,421.7855892907359,0.6012094071772376,-inf,5,60
378.62167793194305,466.89881130711825,1.030701754385965,-inf,5,60
451.322039494343,407.85618380339247,0.6176754280202557,-0.24387009519696076,5,60
325.72150681218454,517.0369909397199,1.2429011440305076,-inf,5,60
413.3644225539171,458.3310302972442,0.9489484340811861,-inf,5,60
460.28077934379724,491.27801022774605,0.9274148073640576,-inf,5,60
489.44434906670784,773.4698334992344,1.3927694052062174,-inf,5,60
371.6851826478963,392.1610001007239,0.6886156361563615,-3.4090394456719295,5,60
409.33775275844437,313.81748942126643,0.6948179127965652,-inf,5,60
383.26777519118406,381.4945390609587,0.645704726958774,-inf,5,60
393.5542370499904,446.03680715085983,0.8005061601809808,-inf,5,60
394.0913599661886,445.7277756658205,0.9342782192339039,-inf,5,60
406.9389542670989,400.4541172219359,0.692846124741698,-inf,5,60
364.6296637228884,375.5136482206739,0.6121332429553598,-inf,5,60
363.2545595033874,434.1219106810129,0.8675415702302982,-inf,5,60
418.76300974815496,427.01336825287643,0.8209998215473467,-2.0947955326207515,5,60
411.43622936408184,311.86882926427046,0.4603754718044054,-inf,5,60
386.1872926443852,457.42021162165537,0.9489002004430848,-inf,5,60
434.3790107728503,416.14720953047373,0.6874648560503823,-inf,5,60
369.69559550166855,346.257851896531,0.5738705738705738,-inf,5,60
374.81153597508177,491.4816035892561,0.864773862797063,-inf,5,60
389.5421190320759,446.92178659507454,0.7137687311627117,-inf,5,60
408.50543142044023,599.2825571742709,0.9232082524620804,-inf,5,60
378.96393847788033,359.95126985005436,0.6806092733312099,-inf,5,60
533.8989448700319,430.35247181815976,0.766843488349338,-inf,5,60
362.30652883067586,438.9332713142929,0.7719474484902602,-inf,5,60
486.06193878284006,489.5615385219717,0.6117154375477862,-inf,5,60
424.8948154151409,397.66526962593383,0.6704146600277529,-14.352261595700128,5,60
367.8138115949427,453.9831127549423,0.9044606161737895,-50.96144227217115,5,60
385.71505566501634,388.2246986819188,0.7055189944713711,-inf,5,60
405.06046359360556,326.18259201455453,0.49537251719607384,-inf,5,60
356.9228441367499,510.3317548418871,0.8727737125500483,-inf,5,60
388.55547115780865,424.2751662148831,0.7578435360314555,-inf,5,60
421.39087654259123,388.20559415512463,0.7114274373962618,-inf,5,60
441.2580263670377,628.5442174846041,0.9381772885141686,-10.52925779097822,5,60
375.1468045978801,542.8988549137553,0.933628389154705,-inf,5,60
573.9320698770312,580.2132510264365,1.0405489144076305,-inf,5,60
428.3459466365942,507.60483317898644,0.9322860492379835,-inf,5,60
393.66115399752954,452.00092182796857,0.7193380963474929,-inf,5,60
446.7600026860059,396.5766004191372,0.7396731149843581,-inf,5,60
368.91970671136556,449.90795354901945,0.8730166270783849,-inf,5,60
384.3573098910266,362.33858475188646,0.6342499681447503,-inf,5,60
441.34373414229714,523.4757237287449,0.9697343070926118,-inf,5,60
380.35205731006636,311.39912759458184,0.5860344380730229,-0.23544384914411012,5,60
396.856790920856,466.8532960149259,0.9061321880219518,-inf,5,60
363.92779160157585,478.32110901917486,1.0257890013461635,-inf,5,60
366.24675766482903,379.7279728086059,0.8812128762028562,-inf,5,60
377.78923797976745,513.4550450948294,1.0152731459425124,-inf,5,60
420.94531513408407,366.67253783178256,0.5292964783297454,-inf,5,60
349.91150666990075,420.3138708156085,0.7937721900685764,-1.4442916507593873,5,60
375.4591078488664,610.7549290290938,1.3479880054169087,-inf,5,60
366.8038758428451,398.65450789708456,0.7042325783450177,-3.726752512374922,5,60
314.3720924318824,393.14045412125506,0.7806770391795076,-0.6137786961814089,5,60
472.6434746896086,470.1920706831766,0.7544544013415609,-inf,5,60
383.1516235991525,466.78697853874775,0.9180710786470709,-inf,5,60
405.7927426655139,494.0639297364934,0.840582535487877,-inf,5,60
435.9225370789326,357.69994408721954,0.5855975280927869,-inf,5,60
352.6423176061924,409.5041717329222,0.7965612779911271,-inf,5,60
416.3718540359487,529.9540860615506,0.8947075779523873,-2.083508644890467,5,60
375.8398650578018,464.7648150767583,0.9239866994452848,-0.7822645337404192,5,60
392.29694853941106,464.3160740989554,0.8262561555796678,-inf,5,60
429.129545320136,515.0288017836154,0.9603766879886283,-inf,5,60
386.1758289087153,477.2882602089992,0.8326600262197903,-inf,5,60
436.313295312745,446.87246502777504,0.9056538765357401,-1.6445603511555438,5,60
405.9776009831084,430.0538725942755,0.6554986569277387,-inf,5,60
404.1841576971237,516.617121280354,0.9519407908829957,-inf,5,60
444.04028064279635,374.92977120166563,0.6278181234870359,-inf,5,60
461.57122960600566,444.60160068687713,0.6915278808365625,-inf,5,60
358.4368842627667,421.8161131741334,0.6833638197082688,-inf,5,60
415.61874055436914,483.5876342505048,0.8866203863401173,-inf,5,60
390.69537366086126,438.116803299455,0.8317819042592326,-inf,5,60
337.44576724761765,427.10195894345105,0.9353467115139766,-inf,5,60
383.2415198018085,487.33604080415256,0.8910596811060936,-inf,5,60
402.58544641686524,470.8703820231919,0.8036647902253162,-2.8954027176830155,5,60
363.749656357226,426.857216564665,0.7715549713266608,-inf,5,60
