rmse_train,rmse_test,mase_test,bias_test,theta,n
376.84927358295386,408.1468791991432,0.68172,-inf,10,120
342.6061119079265,369.65834451107236,0.7582800851970181,-inf,10,120
412.7297466260458,371.45597540848183,0.7521526561587857,-inf,10,120
379.69841376632934,364.9227087114932,0.7149198437819877,-inf,10,120
398.79204323807664,426.3295380336671,0.9055300542369508,-inf,10,120
394.0447838338514,502.25371244687346,0.9300847160592487,-inf,10,120
412.49659089500364,381.8591581547661,0.5967953498717747,-inf,10,120
406.68303843411024,358.8442094651475,0.7067179244716619,-inf,10,120
365.5070108766725,426.61785202528347,0.9140830491457779,-inf,10,120
412.32425549155687,350.1887586240693,0.5462477566827241,-1.650116449249179,10,120
404.84265204726967,351.19978881922276,0.5895571575325245,-inf,10,120
384.81202120862423,417.29336203682897,0.8580904002968085,-inf,10,120
425.52626730516494,392.8558896083906,0.6647660349073776,-inf,10,120
368.01205822635757,414.2013399302325,0.7293629818974793,-inf,10,120
407.57160669425116,430.7444621427728,0.8611961606582637,-inf,10,120
402.15010671804293,420.3994132568059,0.8159839469659921,-inf,10,120
394.6281873485471,444.05944609552745,0.8645712476586968,-inf,10,120
404.40920128421084,305.37497441669973,0.4683960072032996,-0.2598143905593213,10,120
390.84503802658156,393.28467213118455,0.7907635819192927,-inf,10,120
370.7671101918292,441.17811029107054,0.8808658193816449,-inf,10,120
417.9472903369515,359.93396385077824,0.6876777562677757,-inf,10,120
346.76999161307674,402.3501273766419,0.8547947256065813,-inf,10,120
389.7351664912983,413.5908304109268,0.7520979141725757,-inf,10,120
395.2814793494209,368.89378552640324,0.7302405998122679,-inf,10,120
397.30460344258114,429.34353960435925,0.8105560213299496,-inf,10,120
354.2958538895612,355.98179962838924,0.7903440879862869,-inf,10,120
430.9573161385398,326.00747690812244,0.5821753049325751,-inf,10,120
369.3822404817716,349.1378070810054,0.6625807462781321,-inf,10,120
403.6946556495392,405.9246646033391,0.742602788782202,-inf,10,120
390.4979993546702,490.922261327256,1.0247916769187868,-inf,10,120
419.4772664678425,376.65031306681976,0.6717199937262283,-inf,10,120
358.6352168290225,371.5085239040059,0.7384046890927625,-inf,10,120
375.90167985347796,413.7580814920719,0.7776591417531015,-inf,10,120
391.36784700159853,462.175697110958,0.891086354652303,-inf,10,120
365.81304993124564,445.77226996154286,0.8773305453911832,-inf,10,120
405.53214782143556,423.88805519067574,0.8389284065388016,-inf,10,120
360.8599249247091,384.51918027583486,0.6731665319732943,-inf,10,120
420.7930756321924,391.51543179462715,0.7693716425199414,-1.0398223438318144,10,120
392.25849788967815,426.8251007926627,0.7601260240823348,-inf,10,120
381.99592329849105,412.2536638203878,0.7901162931263751,-inf,10,120
398.7425417275329,355.3294832499362,0.632562999001996,-inf,10,120
378.50778833906884,417.23519546334217,0.8733548993585489,-inf,10,120
408.1891156886311,416.11737126280445,0.7584662127697324,-inf,10,120
395.4810493774217,378.7438118306357,0.6582131523720309,-inf,10,120
387.34156707398876,372.68166711014914,0.6408769119470856,-inf,10,120
405.30401398209716,413.3336021504502,0.7266089978189346,-inf,10,120
423.49814295145774,401.4677238998589,0.7353774572441326,-inf,10,120
395.486672763234,468.4576199259295,0.8801445897583174,-inf,10,120
