rmse_train,rmse_test,mase_test,bias_test,theta,n
392.18066007758324,398.70270531088977,0.7629736883056366,-inf,10,360
391.8881510286662,407.9199778551344,0.7400363879698557,-inf,10,360
407.81723762680207,386.29617667161955,0.7387957580371777,-inf,10,360
375.38115351821625,376.0670374636238,0.7680950767841012,-inf,10,360
398.0995260470538,350.3519658857361,0.6762446328258914,-inf,10,360
386.24701994535394,387.62476486072626,0.6737557913896326,-inf,10,360
400.80299174837063,429.1584465232185,0.8083362586665553,-inf,10,360
406.2973775792526,415.4295133419815,0.7883170330102229,-inf,10,360
377.80280350115635,391.95976621757154,0.7678790609259158,-inf,10,360
413.39643335557594,385.69886065570785,0.6925419169169169,-inf,10,360
383.0703400377882,376.88371327683205,0.7045431886763426,-inf,10,360
380.3663758287674,386.99698534570865,0.7306757801677976,-inf,10,360
408.2659680826268,404.44042275167743,0.7183118683741507,-inf,10,360
384.17271777591566,433.5210330665758,0.8003208061683773,-inf,10,360
398.970293554406,375.42627623661195,0.6482603852839053,-inf,10,360
377.58395405672513,375.3454519950033,0.7281656535499431,-inf,10,360
396.59681195138216,387.4988888872959,0.7196523809169931,-inf,10,360
407.0218479666936,406.2625895485168,0.7468001801487681,-inf,10,360
405.5657485400966,399.9544592131015,0.7394335394719584,-inf,10,360
383.53944639951237,354.10201370665925,0.6449808549376703,-inf,10,360
390.4632131626914,429.8075796860213,0.7778548113818707,-inf,10,360
391.82833099741805,364.6241977098552,0.7077078319689215,-inf,10,360
406.1855376207063,370.40098391997947,0.6661575853121818,-inf,10,360
383.12255527586876,375.6150696598255,0.7349826183569362,-inf,10,360
400.4185743971204,403.74366180095564,0.8346351301796847,-inf,10,360
391.918190513729,391.87841793653865,0.736260877001689,-inf,10,360
391.81403256023276,442.0438012484987,0.8638301181635981,-inf,10,360
386.7216735299145,427.97243226378237,0.8325358709611894,-inf,10,360
389.8444356763064,410.53418791185277,0.7902974805711491,-inf,10,360
389.9212660909892,413.0413787449819,0.844302350247378,-inf,10,360
393.1365503514297,375.07027119372356,0.6644439620189224,-inf,10,360
396.0437335558901,397.8521675474726,0.7429354440031091,-inf,10,360
385.0010010809496,348.1540607259953,0.7018414305747547,-inf,10,360
396.9114572056482,403.0233829720333,0.7928133790195685,-inf,10,360
392.87001755599067,367.7103895126647,0.6339420209389005,-inf,10,360
379.49300059421387,403.5871618649709,0.7921247741952252,-inf,10,360
393.17523747193326,399.7485494379908,0.7328440970616047,-inf,10,360
397.3401102260436,393.29581388850585,0.7233869100169211,-inf,10,360
384.0089065084009,411.8150205020588,0.7623377035397879,-inf,10,360
388.6180376239202,402.1596387008522,0.7472250075572693,-inf,10,360
412.8154559781458,353.9059628708671,0.6070889862962328,-inf,10,360
406.0395352261485,366.3801342564547,0.6952679258106634,-inf,10,360
404.079393498357,413.2516384319204,0.6987897110822622,-inf,10,360
385.50458456706093,411.9976233750222,0.8440146962677628,-inf,10,360
398.103730026624,421.18236351173744,0.7240207861181694,-inf,10,360
390.73891894432245,402.89264837064366,0.8021238959644758,-inf,10,360
360.1783605227956,390.1546523851507,0.7606253765754558,-inf,10,360
405.6234827056025,441.9753323936127,0.8749252918314516,-inf,10,360
391.0332955062068,409.27276289101434,0.8375032327385095,-inf,10,360
405.9443037878199,432.4029916897225,0.8072664348367107,-inf,10,360
413.4643021672689,422.0449225694661,0.7653478810804046,-inf,10,360
393.03880657286527,374.605366426531,0.6781845444656104,-inf,10,360
381.2013539092198,388.86556874523563,0.7391685243624754,-inf,10,360
379.86713686059585,398.5409326530965,0.7589494551524553,-inf,10,360
409.457177926527,397.8777904220228,0.7201617308402694,-inf,10,360
401.43026843608425,361.5476762782776,0.6421242511501672,-inf,10,360
