rmse_train,rmse_test,mase_test,bias_test,theta,n
390.514457692243,384.0696008971985,0.7735428005732701,-inf,100,240
373.0453711793424,453.43804703619656,0.8362399405275143,-inf,100,240
391.97982383238383,366.35430824089764,0.7189778908736757,-inf,100,240
378.1642403881326,389.032560762378,0.7159055598712685,-inf,100,240
387.9802266224401,408.874038264435,0.8219762424313911,-inf,100,240
357.68096381412306,407.49529649637265,0.7821849747774247,-inf,100,240
386.94853232266775,356.6524335166288,0.7063342295896133,-inf,100,240
389.00018075188603,379.02138242232894,0.6889264181463917,-inf,100,240
400.15236681377587,413.4670230703613,0.7580394325030392,-inf,100,240
389.81566824376534,394.26934004560894,0.7613566356550354,-inf,100,240
396.86473083827104,370.0671110307787,0.6630554299100133,-inf,100,240
380.4423343841569,372.2634875550739,0.6638267808712602,-inf,100,240
399.5474588518866,360.0087383198728,0.6479195874223913,-inf,100,240
409.5810931610491,396.6000294167076,0.693078857298841,-inf,100,240
365.36763734171456,388.18646185392225,0.7754065952694348,-inf,100,240
412.6641466333932,357.5179191313353,0.637699399184711,-inf,100,240
376.91888909728755,396.174914021572,0.7785767793597826,-inf,100,240
373.6288474208061,396.474384418464,0.7600875660587731,-inf,100,240
372.44603915645735,414.10717211852295,0.8854818250154367,-inf,100,240
374.61204237406287,367.9568871937762,0.749239168002958,-inf,100,240
383.14556769153245,428.5489324452926,0.8488027899066788,-inf,100,240
372.11408980759296,363.01144954395033,0.6877979373720621,-inf,100,240
390.1882291493,350.1875390415827,0.6434895716716672,-inf,100,240
379.23380815797526,454.1507183744181,0.9322624615359502,-inf,100,240
406.9327148006166,364.97251608854054,0.6195205933891749,-inf,100,240
384.7069704658339,410.8668427848614,0.8349849221057968,-inf,100,240
379.7540048066204,366.64628731244505,0.7142431912444214,-inf,100,240
437.63850783685234,404.1916315313814,0.7811057681690701,-inf,100,240
371.21980797545456,398.0279251091142,0.7735097407445696,-inf,100,240
385.41179276197556,382.97878531323374,0.722341554585289,-inf,100,240
388.1548566079437,354.94098687903977,0.689669963765536,-inf,100,240
384.66782883634374,370.88761774963587,0.7175099408004523,-inf,100,240
383.32562718703446,403.38061017687335,0.7409272964977786,-inf,100,240
382.3344344833024,425.8579575398351,0.8343119736991625,-inf,100,240
376.4605031296997,384.4666218715655,0.732379881946356,-inf,100,240
383.06222976821925,436.4626988644047,0.8588605638007506,-inf,100,240
362.7186983967971,394.0655085134958,0.8099137861768628,-inf,100,240
398.27351363939164,436.19689266048954,0.7594147690282127,-inf,100,240
385.45107504065936,397.27671926085304,0.7841107162372911,-inf,100,240
406.15564288828983,396.7056791039591,0.7242717522399915,-inf,100,240
392.22224115714465,375.7224707147551,0.7029578528513296,-inf,100,240
402.3027466970615,446.4073952120417,0.855409735148131,-inf,100,240
389.0320988791713,425.3700839661075,0.8503130681702109,-inf,100,240
375.3956315786498,386.9625035667754,0.7385069919216685,-inf,100,240
382.7912358039736,385.77346547769025,0.7677866956165232,-inf,100,240
376.7109164642476,408.61947457261505,0.8193432756472819,-inf,100,240
409.1730481511867,410.5198939556198,0.795877188148638,-inf,100,240
381.49439571025596,370.9575166601516,0.7411413392038592,-inf,100,240
397.1197604837446,393.01712218850383,0.6601359786230875,-inf,100,240
382.96059550341903,410.15228371098135,0.764708674168574,-inf,100,240
375.79380566342496,356.9362980047467,0.6864749650851169,-inf,100,240
