,rmse_train,rmse_test,mase_test,bias_test,theta,n
dyear10_10_1,394.2251233960954,355.45838950103104,0.5370881023432679,-inf,10.0,120.0
dyear10_10_2,409.74669512598473,376.382064308773,0.6218032298154493,-inf,10.0,120.0
dyear10_10_3,363.77897937254886,421.98444876559137,0.7295721085162832,-inf,10.0,120.0
dyear10_10_4,397.61729139546566,436.5366059488406,0.8323009818382964,-inf,10.0,120.0
dyear10_10_5,398.3783403792598,383.87508819059013,0.7191448555956679,-inf,10.0,120.0
dyear10_10_6,389.4366123003845,373.03753162383003,0.6801418439716312,-inf,10.0,120.0
dyear10_10_7,410.96854603890716,492.49056674553,0.9421189846473985,-inf,10.0,120.0
dyear10_10_8,384.8687682184669,457.1737452362431,0.867705080040435,-inf,10.0,120.0
dyear10_10_9,376.3238853257479,375.6524324425439,0.742282034135779,-inf,10.0,120.0
dyear10_10_10,403.98499353317567,343.7941486800883,0.6103418163672654,-inf,10.0,120.0
dyear10_10_11,408.2426642533417,392.65007746508,0.6138865991521432,-inf,10.0,120.0
dyear10_10_12,376.1564390870727,361.81118464377704,0.7133687394485088,-inf,10.0,120.0
dyear10_10_13,359.89102806729335,438.09140979176175,0.8583317492752934,-inf,10.0,120.0
dyear10_10_14,389.45797002586386,448.3825096945687,0.8292509830778068,-inf,10.0,120.0
dyear10_10_15,400.60346405974406,322.4810071926717,0.5031175570745309,-0.32383194596365134,10.0,120.0
dyear10_10_16,387.22266957570207,492.0336201250209,0.7861667960197123,-inf,10.0,120.0
dyear10_10_17,410.6285958746663,347.0826630645789,0.6536202528620253,-inf,10.0,120.0
dyear10_10_18,392.14977740229136,432.7333667128832,0.8126089300484461,-inf,10.0,120.0
dyear10_10_19,390.9260639814132,392.91188579629403,0.6101089931273589,-inf,10.0,120.0
dyear10_10_20,371.9331957265086,388.87760499502497,0.6802860915189498,-inf,10.0,120.0
dyear10_10_21,399.2261003074156,373.35740249792826,0.7257895052833814,-inf,10.0,120.0
dyear10_10_22,373.1979897900488,402.04409998572714,0.8042769924625262,-inf,10.0,120.0
dyear10_10_23,346.30535056988845,400.8332467082373,0.8197579315491687,-inf,10.0,120.0
dyear10_10_24,366.5309644718528,452.2401648092158,0.9283677542873436,-inf,10.0,120.0
dyear10_10_25,375.1149962567035,494.2825187413908,0.9424098138596766,-inf,10.0,120.0
dyear10_10_26,339.2382858454118,347.61826524699956,0.6985889243876463,-inf,10.0,120.0
dyear10_10_27,366.89618763350484,419.685398046362,0.9035401057094731,-inf,10.0,120.0
dyear10_10_28,361.4397281474926,372.75824381673084,0.7194993593263773,-inf,10.0,120.0
dyear10_10_29,389.3968493067195,422.5013313588491,0.6934037825547748,-inf,10.0,120.0
dyear10_10_30,395.62009607281914,466.9290631348621,0.8786315781348895,-inf,10.0,120.0
