,rmse_train,rmse_test,mase_test,bias_test,theta,n
dyear10_10_1,411.4081762678034,383.714792087387,0.5868046374293305,-inf,10.0,120.0
dyear10_10_2,404.84265204726967,351.19978881922276,0.5895571575325245,-inf,10.0,120.0
dyear10_10_3,392.25849788967815,426.8251007926627,0.7601260240823348,-inf,10.0,120.0
dyear10_10_4,404.9938013928937,406.87759215764146,0.7560318137119327,-inf,10.0,120.0
dyear10_10_5,397.3722803199371,381.9601309910063,0.7074449082430806,-inf,10.0,120.0
dyear10_10_6,389.23490657956154,366.0304518297168,0.686258865248227,-inf,10.0,120.0
dyear10_10_7,407.57160669425116,430.7444621427728,0.8611961606582637,-inf,10.0,120.0
dyear10_10_8,391.36784700159853,462.175697110958,0.891086354652303,-inf,10.0,120.0
dyear10_10_9,370.78736606488275,427.8159164095386,0.9002485750222902,-inf,10.0,120.0
dyear10_10_10,398.7425417275329,355.3294832499362,0.632562999001996,-inf,10.0,120.0
dyear10_10_11,412.49659089500364,381.8591581547661,0.5967953498717747,-inf,10.0,120.0
dyear10_10_12,376.67933699191235,355.5428361440198,0.6885873897955356,-inf,10.0,120.0
dyear10_10_13,365.81304993124564,445.77226996154286,0.8773305453911832,-inf,10.0,120.0
dyear10_10_14,395.486672763234,468.4576199259295,0.8801445897583174,-inf,10.0,120.0
dyear10_10_15,404.40920128421084,305.37497441669973,0.4683960072032996,-0.2598143905593213,10.0,120.0
dyear10_10_16,386.8844977294042,444.7032718566393,0.6932534499403714,-inf,10.0,120.0
dyear10_10_17,417.9472903369515,359.93396385077824,0.6876777562677757,-inf,10.0,120.0
dyear10_10_18,406.5002946903401,392.63447802419665,0.7335054058844381,-inf,10.0,120.0
dyear10_10_19,396.26541768112946,387.9251431225703,0.6449584706837834,-inf,10.0,120.0
dyear10_10_20,385.1129569143751,322.844196168988,0.5594409511793217,-inf,10.0,120.0
dyear10_10_21,406.68303843411024,358.8442094651475,0.7067179244716619,-inf,10.0,120.0
dyear10_10_22,402.15010671804293,420.3994132568059,0.8159839469659921,-inf,10.0,120.0
dyear10_10_23,346.76999161307674,402.3501273766419,0.8547947256065813,-inf,10.0,120.0
dyear10_10_24,370.7671101918292,441.17811029107054,0.8808658193816449,-inf,10.0,120.0
dyear10_10_25,402.05472264357246,393.39028542487756,0.7489431457044827,-inf,10.0,120.0
dyear10_10_26,342.6061119079265,369.65834451107236,0.7582800851970181,-inf,10.0,120.0
dyear10_10_27,365.5070108766725,426.61785202528347,0.9140830491457779,-inf,10.0,120.0
dyear10_10_28,362.26968258007275,365.25208190143604,0.6893508901781948,-inf,10.0,120.0
dyear10_10_29,387.34156707398876,372.68166711014914,0.6408769119470856,-inf,10.0,120.0
dyear10_10_30,401.88365076225733,396.9729209908404,0.7627761311536145,-inf,10.0,120.0
dyear10_10_31,384.53793971900006,380.7876157825164,0.7027278191228715,-inf,10.0,120.0
dyear10_10_32,395.4810493774217,378.7438118306357,0.6582131523720309,-inf,10.0,120.0
dyear10_10_33,417.9602876869205,363.320450841953,0.5831291656787587,-inf,10.0,120.0
dyear10_10_34,381.99592329849105,412.2536638203878,0.7901162931263751,-inf,10.0,120.0
dyear10_10_35,363.66604128421636,327.97922952528563,0.527760945982339,-inf,10.0,120.0
dyear10_10_36,346.6523534705436,363.91327950488426,0.7494238022070122,-inf,10.0,120.0
