,rmse_train,rmse_test,mase_test,bias_test,theta,n
dyear20_1.5_1,379.2599358729226,422.43091151098304,0.7900601811751119,-inf,1.5,240.0
dyear20_1.5_2,379.2124926519871,373.9358233708025,0.7067745305562378,-inf,1.5,240.0
dyear20_1.5_3,396.62139535078035,377.7702674907066,0.7538762470753765,-inf,1.5,240.0
dyear20_1.5_4,363.19190433571066,425.3913149481702,0.7979327881345996,-inf,1.5,240.0
dyear20_1.5_5,392.8369241279813,392.65445474785247,0.7149521449189861,-inf,1.5,240.0
dyear20_1.5_6,380.50594744585356,410.43254622410245,0.7638769951090456,-inf,1.5,240.0
dyear20_1.5_7,384.1031016645574,404.6776237533608,0.7458390087537685,-inf,1.5,240.0
dyear20_1.5_8,377.1504866539792,405.91760760857204,0.8389336266760279,-inf,1.5,240.0
dyear20_1.5_9,386.44341840041733,403.6502456748086,0.8189869473375502,-inf,1.5,240.0
dyear20_1.5_10,379.897656174221,381.77242894164056,0.7794512463675056,-inf,1.5,240.0
dyear20_1.5_11,390.9842281559023,420.9213851778025,0.8332074845392888,-inf,1.5,240.0
dyear20_1.5_12,398.0835928231657,380.9996719158692,0.6582213854941128,-inf,1.5,240.0
dyear20_1.5_13,386.38093789247245,388.29678833764945,0.7958532035837192,-inf,1.5,240.0
dyear20_1.5_14,377.10429039369643,410.1769689211394,0.8178381578430216,-inf,1.5,240.0
dyear20_1.5_15,390.8826550257763,396.02640905205635,0.7059552767804663,-inf,1.5,240.0
dyear20_1.5_16,403.5287190316612,376.3907267277804,0.6769133863917344,-inf,1.5,240.0
dyear20_1.5_17,393.39529658474567,390.46617437792656,0.7427598626821993,-inf,1.5,240.0
dyear20_1.5_18,379.1999664864613,451.83971162349155,0.821770716109272,-inf,1.5,240.0
dyear20_1.5_19,377.5043942900974,442.2733883018511,0.9240579429212956,-inf,1.5,240.0
dyear20_1.5_20,377.3047439294484,396.7188603616756,0.7522438235157914,-inf,1.5,240.0
dyear20_1.5_21,371.58928800267284,409.91952970471334,0.7744200461345262,-inf,1.5,240.0
dyear20_1.5_22,379.1781957954158,374.3306804595815,0.7634469787484867,-inf,1.5,240.0
dyear20_1.5_23,395.42168946581575,359.0058901559509,0.6553118544341153,-inf,1.5,240.0
dyear20_1.5_24,382.39917652674586,366.14643017969377,0.715977193759765,-inf,1.5,240.0
dyear20_1.5_25,378.7790692914979,425.3651617532086,0.8220652140129219,-inf,1.5,240.0
dyear20_1.5_26,383.68715554906623,373.7191180106614,0.6858861147284678,-inf,1.5,240.0
dyear20_1.5_27,381.7079967614861,359.24654950790176,0.6898581118656547,-inf,1.5,240.0
dyear20_1.5_28,395.15315464386714,331.9591465828288,0.5837235888174744,-inf,1.5,240.0
dyear20_1.5_29,401.3890789599704,427.83179132302297,0.822688240526206,-inf,1.5,240.0
dyear20_1.5_30,391.24239875470215,353.63434505149525,0.6609184907789578,-inf,1.5,240.0
dyear20_1.5_31,395.8012574723161,388.4627824300976,0.7098918530620435,-inf,1.5,240.0
dyear20_1.5_32,402.7907593693447,432.2633504782318,0.8395470652040598,-inf,1.5,240.0
dyear20_1.5_33,387.47698856405225,441.85225660470115,0.8685593292082257,-inf,1.5,240.0
dyear20_1.5_34,403.66468396843106,423.856132235141,0.7951798197750429,-inf,1.5,240.0
dyear20_1.5_35,405.9887300878355,440.1329817983045,0.8934847861344436,-inf,1.5,240.0
dyear20_1.5_36,398.3551336433359,407.4224108138056,0.8172945808693725,-inf,1.5,240.0
dyear20_1.5_37,401.60132594402626,362.14448083603315,0.6420572098441503,-inf,1.5,240.0
dyear20_1.5_38,380.31684296342524,394.14089063007236,0.7460384715121878,-inf,1.5,240.0
dyear20_1.5_39,382.9697279159281,422.7754772531948,0.9513988896047296,-inf,1.5,240.0
dyear20_1.5_40,385.9477309710042,421.79527024375227,0.8498909929241375,-inf,1.5,240.0
dyear20_1.5_41,387.8463170187388,396.9329550860363,0.7943667795583114,-inf,1.5,240.0
dyear20_1.5_42,374.92284622972767,370.8038845984941,0.7138753237869903,-inf,1.5,240.0
dyear20_1.5_43,382.128795913978,406.7783743432452,0.7211383650158859,-inf,1.5,240.0
dyear20_1.5_44,373.9904396616755,390.40841328878486,0.8071006476260522,-inf,1.5,240.0
dyear20_1.5_45,376.56152662391486,416.5898012433814,0.7495438821600883,-inf,1.5,240.0
dyear20_1.5_46,400.4574597673682,400.00776034138806,0.7309188328487206,-inf,1.5,240.0
dyear20_1.5_47,383.34155788278423,438.8696655424402,0.8692027022353389,-inf,1.5,240.0
dyear20_1.5_48,378.2942665218881,420.0383663032065,0.7978036632148564,-inf,1.5,240.0
dyear20_1.5_49,373.5643212130052,397.5729492810093,0.8413381479272953,-inf,1.5,240.0
dyear20_1.5_50,396.89610180121446,404.57029673469606,0.7944292940357998,-inf,1.5,240.0
dyear20_1.5_51,372.3029120666844,409.7474577915849,0.8384950196909787,-inf,1.5,240.0
dyear20_1.5_52,385.38577128422025,387.60098146590565,0.6850912925027506,-inf,1.5,240.0
dyear20_1.5_53,377.5539903444274,388.4236304174434,0.7203554173324203,-inf,1.5,240.0
dyear20_1.5_54,383.98010202352935,430.56757599707856,0.8217474377745242,-inf,1.5,240.0
dyear20_1.5_55,389.77374580218543,384.65617764439975,0.6708004915201701,-inf,1.5,240.0
dyear20_1.5_56,396.0145988470627,376.69314988019977,0.7568563299415636,-inf,1.5,240.0
dyear20_1.5_57,361.43139188740463,462.0867523167773,0.863938505287479,-inf,1.5,240.0
dyear20_1.5_58,399.770748106545,408.4428254562279,0.6773153396035662,-inf,1.5,240.0
dyear20_1.5_59,389.30353142931205,399.8124299801929,0.7835030707352432,-inf,1.5,240.0
dyear20_1.5_60,419.65559415827323,412.87669668639165,0.7308102932870466,-inf,1.5,240.0
dyear20_1.5_61,385.7440591463032,362.2626234285471,0.7170379537953796,-inf,1.5,240.0
dyear20_1.5_62,399.16528139982313,363.38091240460056,0.6767962532713775,-inf,1.5,240.0
dyear20_1.5_63,403.17249074269273,409.16599626557434,0.7971666511539521,-inf,1.5,240.0
dyear20_1.5_64,389.94699158988266,381.9535584771182,0.7103000521910939,-inf,1.5,240.0
dyear20_1.5_65,380.696134567978,393.3265183025421,0.7770062001249455,-inf,1.5,240.0
dyear20_1.5_66,381.94197448696315,394.185447050835,0.7470771031223015,-inf,1.5,240.0
dyear20_1.5_67,372.35713843253586,409.3091740970388,0.7206312905328517,-inf,1.5,240.0
dyear20_1.5_68,368.5021695435908,363.7458189908626,0.6930320753219438,-inf,1.5,240.0
dyear20_1.5_69,401.65190801032344,436.80568715772614,0.7643326309905184,-inf,1.5,240.0
dyear20_1.5_70,394.3176001545793,388.7845107940044,0.742175925925926,-inf,1.5,240.0
dyear20_1.5_71,380.36355279083546,421.55335269294994,0.7935463495129065,-inf,1.5,240.0
dyear20_1.5_72,383.5157061646889,407.97921719943855,0.7419795573244113,-inf,1.5,240.0
dyear20_1.5_73,407.0595459614396,421.38262007349095,0.8147643541889755,-inf,1.5,240.0
dyear20_1.5_74,410.845558472605,393.1376190343529,0.6859580844006806,-inf,1.5,240.0
dyear20_1.5_75,385.03128254943994,364.0400046698165,0.6496634736483383,-inf,1.5,240.0
dyear20_1.5_76,437.9840774312844,425.6583381461396,0.8111671918843867,-inf,1.5,240.0
dyear20_1.5_77,399.8794935664994,391.82497687105143,0.6734618018675278,-inf,1.5,240.0
dyear20_1.5_78,400.78863013023044,418.7169141158101,0.7758452776225385,-inf,1.5,240.0
dyear20_1.5_79,393.26623721511277,388.68375641387433,0.7016037240517277,-inf,1.5,240.0
dyear20_1.5_80,370.52992737879265,395.14401383124437,0.780512134232224,-inf,1.5,240.0
dyear20_1.5_81,372.17926628172074,389.5610777956819,0.7566617661472115,-inf,1.5,240.0
dyear20_1.5_82,383.03232973862663,354.209654253899,0.6903772691155797,-inf,1.5,240.0
dyear20_1.5_83,391.85917697986014,397.3520426943007,0.723073287161814,-inf,1.5,240.0
dyear20_1.5_84,377.3393214888513,437.6528066477658,0.849586355394379,-inf,1.5,240.0
dyear20_1.5_85,391.8774853722355,391.593060459452,0.7112665208276365,-inf,1.5,240.0
dyear20_1.5_86,369.25007052583396,435.7014459466482,0.9076976106635795,-inf,1.5,240.0
dyear20_1.5_87,404.87828675212177,396.90839098378024,0.7113509881123646,-inf,1.5,240.0
dyear20_1.5_88,396.33072915811107,393.1773878713441,0.7349507422478218,-inf,1.5,240.0
