,rmse_train,rmse_test,mase_test,bias_test,theta,n
dyear5_1.5_1,385.649965426335,375.67738819364683,0.7476404775298456,-inf,1.5,60.0
dyear5_1.5_2,392.83762018591517,386.22413613513766,0.5182699272026419,-6.990198453905276,1.5,60.0
dyear5_1.5_3,442.55359844882065,439.0138570326302,0.8541942554454541,-inf,1.5,60.0
dyear5_1.5_4,407.9769192817979,399.406643243032,0.6783671579827666,-inf,1.5,60.0
dyear5_1.5_5,393.84990795987244,423.5364998045229,0.7523998390527102,-inf,1.5,60.0
dyear5_1.5_6,372.90347276473574,416.19676836804007,0.7578902265696847,-inf,1.5,60.0
dyear5_1.5_7,360.56183011147107,433.3576275241193,0.9457926383628994,-inf,1.5,60.0
dyear5_1.5_8,378.3840641464701,417.92593043903526,0.841622525550915,-inf,1.5,60.0
dyear5_1.5_9,357.4305876670322,490.84629298114635,0.9295450744271617,-inf,1.5,60.0
dyear5_1.5_10,394.44037360966655,451.56616347994895,0.9995274102079396,-inf,1.5,60.0
dyear5_1.5_11,403.2120513245274,471.68960486037145,0.8695638119046593,-inf,1.5,60.0
dyear5_1.5_12,379.34274299987163,448.5715290415417,0.8226437788531064,-inf,1.5,60.0
dyear5_1.5_13,350.436424334001,430.1425151427528,0.8307095991026291,-inf,1.5,60.0
dyear5_1.5_14,441.91472593702963,357.32396598418455,0.4923895045217169,-inf,1.5,60.0
dyear5_1.5_15,347.7608433487972,451.8878917017656,0.8319771591720199,-inf,1.5,60.0
dyear5_1.5_16,368.42943693467276,505.3191235908915,1.1221810536636874,-inf,1.5,60.0
dyear5_1.5_17,378.10665933481437,362.5481577206905,0.6606651065794291,-inf,1.5,60.0
dyear5_1.5_18,407.6467527161231,375.90657083908496,0.6848159509202454,-inf,1.5,60.0
dyear5_1.5_19,403.6475876305964,410.0735706349939,0.7668732782369146,-inf,1.5,60.0
dyear5_1.5_20,373.4476480490048,473.00264269874856,0.7599884637569698,-inf,1.5,60.0
