simulation,theta,test_rmse
1,1.0,365.6581550623975
2,1.0,356.6716722956588
3,1.0,256.20388720349627
4,1.0,182.5391614272002
5,1.0,174.40391988922516
6,1.0,198.96556348912605
7,1.0,226.20877324036107
8,1.0,294.790796390192
9,1.0,284.1650048827265
10,1.0,307.0149167237792
11,1.0,297.9295981512167
12,1.0,282.38360433991204
13,1.0,291.30404297665604
14,1.0,252.87110442782003
15,1.0,356.75118653048526
16,1.0,209.7801879890646
17,1.0,267.1390512958986
18,1.0,307.5652185087963
19,1.0,326.7452093270563
20,1.0,299.93207564380305
21,1.0,269.0856571969062
22,1.0,188.84511450584912
23,1.0,257.3476159876859
24,1.0,234.7564017909164
25,1.0,221.02802167063876
26,1.0,261.08636676220937
27,1.0,307.3043723618772
28,1.0,203.86888611868346
29,1.0,306.26080685941815
30,1.0,263.0253185186137
31,1.0,361.1204785109812
32,1.0,322.1972856947912
33,1.0,442.4533616921983
34,1.0,441.76273969385215
35,1.0,237.90252969727675
36,1.0,208.72001689954286
37,1.0,297.9238386506921
38,1.0,186.63856660790807
39,1.0,325.79259994944357
40,1.0,298.7792967757608
41,1.0,291.04025807125345
42,1.0,302.7913322885761
43,1.0,303.9530092270544
44,1.0,237.7851398369392
45,1.0,344.65265782444584
46,1.0,208.49335066789845
47,1.0,303.98624370789605
48,1.0,217.2246428344295
49,1.0,324.2915004632827
50,1.0,230.225729152144
51,1.0,387.72635617497974
52,1.0,252.774333420867
53,1.0,343.67284258037137
54,1.0,285.39271189012516
55,1.0,266.60223179861043
56,1.0,189.3094508518214
57,1.0,365.18423121388025
58,1.0,214.61821281691653
59,1.0,247.87432666208457
60,1.0,250.0529943831907
61,1.0,350.2558156028767
62,1.0,242.03338424876245
63,1.0,242.67842545603057
64,1.0,317.3291236670103
65,1.0,284.50595136769346
66,1.0,238.9956256731681
67,1.0,279.1287581679172
68,1.0,271.14269976594176
69,1.0,342.536859330496
70,1.0,319.8147190881848
71,1.0,250.454586701861
72,1.0,280.09276060879284
73,1.0,238.78551615890092
74,1.0,356.9952571622817
75,1.0,233.0202878408971
76,1.0,304.3479617447467
77,1.0,309.0823294263785
78,1.0,230.13706390283636
79,1.0,356.58892171646204
80,1.0,343.74504955113036
81,1.0,379.25680913165854
82,1.0,176.16134133747443
83,1.0,210.25812058688072
84,1.0,240.27493721681722
85,1.0,327.109725821891
86,1.0,311.67658791533484
87,1.0,243.12669723642222
88,1.0,218.0004170137796
89,1.0,390.57608966523003
90,1.0,196.02568245466762
91,1.0,258.29304182371123
92,1.0,281.31666886592086
93,1.0,307.02261539443043
94,1.0,282.9796009352168
95,1.0,322.5861407156516
96,1.0,216.2449684122994
97,1.0,249.62175932252526
98,1.0,285.6257484573444
99,1.0,320.66252438577
100,1.0,274.5788096836184
